player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Sanderson Lam,Nigel Bond,9,1085,1268,0.24115921937736928,0.3875790606520839,58,27,329,155,756,425,6120,3250,106,55,299,144,149,74,688,346,1,5,1.0,0.16666666666666663,1033
Stuart Bingham,Allan Taylor,9,1467,1174,0.8681512578497216,0.6753536404444148,785,493,5892,3341,204,106,1154,601,396,243,1503,863,133,57,381,174,5,2,0.0,0.7142857142857143,1033
Sam Baird,Lyu Chuang,9,1292,1223,0.6048276146754163,0.5430183807243099,211,113,1448,750,216,105,1571,779,191,99,780,408,61,22,637,308,5,2,0.0,0.7142857142857143,1033
Robbie Williams,John Astley,9,1290,1126,0.7357020581715297,0.6010878788483698,246,139,1516,786,111,53,674,316,240,121,770,397,116,43,443,204,2,5,1.0,0.2857142857142857,1033
Mark Allen,James Cahill,9,1546,1210,0.8992998775738518,0.6984652160025387,531,337,3596,2013,77,30,483,213,292,168,1236,740,176,91,412,189,5,2,0.0,0.7142857142857143,1033
Pankaj Advani,Chen Zhe,9,1333,1202,0.6928574316362668,0.5811509642893937,82,47,582,310,143,75,877,446,36,17,570,306,103,54,531,253,5,3,0.0,0.625,1033
Mark Williams,Anthony McGill,9,1445,1377,0.6033448258583628,0.542397940774351,1064,696,8468,4838,283,171,1759,970,318,187,1195,679,247,133,879,473,5,3,0.0,0.625,1033
Zhao Xintong,Michael White,9,1273,1425,0.2795027920359081,0.40612689706585725,41,23,279,153,262,148,1879,1006,104,54,279,153,279,157,961,526,2,5,1.0,0.2857142857142857,1033
Jimmy White,David Morris,9,1218,1298,0.3789715319699309,0.4501660026875221,1336,761,11611,6140,205,108,1544,786,185,89,801,377,127,61,535,287,5,2,0.0,0.7142857142857143,1033
James Wattana,Mark Joyce,9,1181,1272,0.3629911453713422,0.4433690400777466,729,410,6238,3319,330,176,2375,1203,99,43,639,299,183,89,827,421,5,0,0.0,1.0,1033
Pankaj Advani,Ricky Walden,9,1333,1497,0.26429794182847033,0.3989121211516302,82,47,582,310,582,360,4272,2381,36,17,570,306,387,235,1374,767,1,5,1.0,0.16666666666666663,1033
Thepchaiya Un-Nooh,Ken Doherty,9,1278,1337,0.4100684546601523,0.4631917100110195,160,88,1153,605,1000,621,8323,4606,220,120,762,396,200,104,904,477,5,0,0.0,1.0,1033
Kurt Maflin,Judd Trump,9,1259,1556,0.12868477851129767,0.32245770467253076,378,222,2536,1374,556,367,3863,2233,183,84,885,472,419,256,1641,959,1,5,1.0,0.16666666666666663,1033
Craig Steadman,Michael Holt,9,1316,1361,0.4311492878986184,0.4719046255916129,320,184,2096,1129,593,350,4460,2377,237,134,671,338,275,146,956,510,5,1,0.0,0.8333333333333334,1033
Ryan Day,Matthew Selt,9,1425,1393,0.5490878352749591,0.5199893401555817,627,381,4585,2529,354,188,2494,1286,324,187,1141,610,284,173,775,403,2,5,1.0,0.2857142857142857,1033
Stuart Carrington,Mark Selby,9,1302,1645,0.09621035958730684,0.29786193180016496,202,111,1229,658,768,521,5625,3241,176,90,508,259,311,188,1738,1053,3,5,1.0,0.375,1033
Anthony Hamilton,Neil Robertson,9,1350,1578,0.19123827720453446,0.36123682485115816,700,412,5526,2972,651,424,4878,2759,132,65,712,371,362,215,1679,989,4,5,1.0,0.4444444444444444,1033
David Grace,Dechawat Poomjaeng,9,1174,1347,0.25319131393616534,0.3935295129316966,213,98,1380,667,154,86,1116,571,124,50,642,305,267,144,960,503,3,5,1.0,0.375,1033
Tian Pengfei,Gary Wilson,9,1343,1285,0.5884340025894599,0.5361866202317948,241,136,1614,859,262,157,1664,920,183,100,747,387,130,59,614,343,5,2,0.0,0.7142857142857143,1033
Jamie O'Neill,Kyren Wilson,9,1173,1365,0.2306151721378868,0.382252125230751,255,132,1621,839,227,135,1444,790,70,34,406,189,197,106,588,327,5,3,0.0,0.625,1033
Shaun Murphy,Jamie Cope,9,1492,1315,0.7516609934098428,0.6088545692109504,731,472,5537,3129,471,257,3208,1649,363,217,1491,838,193,108,789,388,5,1,0.0,0.8333333333333334,1033
Mark King,Aditya Mehta,9,1288,1322,0.4478620537661791,0.4787627850337259,729,400,5499,2868,200,102,1396,698,174,86,867,446,176,94,841,434,5,4,0.0,0.5555555555555556,1033
Ding Junhui,John Astley,9,1501,1126,0.9223700263151574,0.7185943925708561,533,352,3928,2231,111,53,674,316,182,108,1293,765,116,43,443,204,5,1,0.0,0.8333333333333334,1033
Michael Wasley,John Higgins,9,1316,1391,0.38630986299123704,0.45326184801538616,215,111,1360,679,1115,789,9194,5421,241,123,758,382,271,148,1147,661,2,5,1.0,0.2857142857142857,1033
Hammad Miah,Xiao Guodong,9,1034,1422,0.07094930459703264,0.2748805022101769,41,14,261,104,271,158,1859,1024,86,26,243,98,224,131,917,505,2,5,1.0,0.2857142857142857,1033
Marco Fu,Li Hang,9,1470,1340,0.6915101683136338,0.5805423048206596,642,380,4868,2635,131,64,931,475,284,159,1265,716,205,115,520,271,5,3,0.0,0.625,1033
Peter Ebdon,Jimmy Robertson,9,1388,1341,0.5718764689798446,0.5293412500457856,888,514,7253,3904,312,167,2093,1075,235,141,966,498,260,143,845,440,5,3,0.0,0.625,1033
