player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Ricky Walden,Graeme Dott,11,1466,1395,0.6182601443078577,0.5442588584178731,673,415,4827,2693,746,439,5778,3103,73,42,942,547,28,13,828,471,6,4,0.0,0.6,2214
Judd Trump,Tom Ford,11,1555,1337,0.820957826408379,0.6329747766804606,723,481,4888,2860,502,286,3608,1921,80,46,1444,883,26,10,613,326,6,1,0.0,0.8571428571428571,2214
Mark Selby,John Astley,11,1639,1140,0.9800315991388872,0.7768667992127082,889,607,6477,3763,129,57,796,361,101,66,1163,710,26,9,238,88,6,2,0.0,0.75,2214
Neil Robertson,Anthony Hamilton,11,1539,1312,0.8305871461583106,0.6381861133090055,763,496,5639,3208,753,439,5865,3139,50,25,1123,664,77,44,471,232,6,4,0.0,0.6,2214
Joe Perry,Aditya Mehta,11,1481,1270,0.8132249556059346,0.6288998381516232,905,536,6548,3538,246,123,1687,840,77,40,1069,616,30,13,467,236,6,3,0.0,0.6666666666666666,2214
Ronnie O'Sullivan,Kurt Maflin,11,1682,1331,0.9286989206960847,0.706303891936407,1089,827,9596,5845,444,257,2952,1595,153,99,753,492,46,27,599,305,6,4,0.0,0.6,2214
Shaun Murphy,Yan Bingtao,11,1583,1240,0.9241711459408903,0.702138068199835,885,580,6548,3737,42,22,289,151,108,59,1374,825,60,33,250,128,6,5,0.0,0.5454545454545454,2214
Ding Junhui,Matthew Stevens,11,1458,1392,0.6101644450599927,0.541156668150228,611,406,4543,2588,861,507,6719,3666,69,34,797,465,50,29,633,326,6,2,0.0,0.75,2214
Michael Holt,Daniel Wells,11,1352,1260,0.6516385567369204,0.5572478545985555,684,401,5016,2669,283,139,1892,941,61,28,831,438,42,22,467,234,6,5,0.0,0.5454545454545454,2214
John Higgins,Jak Jones,11,1647,1132,0.9828470482746715,0.7837237376544267,1261,893,10186,6023,129,51,831,370,204,130,1263,750,13,3,220,87,6,2,0.0,0.75,2214
Ali Carter,Stephen Maguire,11,1497,1481,0.5270486726982949,0.5099986668799655,783,468,5550,3052,796,527,5863,3330,63,34,619,338,59,35,996,575,6,5,0.0,0.5454545454545454,2214
Stuart Bingham,Dominic Dale,11,1526,1371,0.7438795181694131,0.5956807306078472,923,580,6760,3833,812,469,5886,3146,92,49,1264,735,74,43,885,489,6,2,0.0,0.75,2214
Sam Baird,Marco Fu,11,1311,1538,0.1694128538416893,0.36181388669099446,262,139,1779,920,768,458,5697,3106,43,21,522,269,130,86,1113,630,6,4,0.0,0.6,2214
Judd Trump,James Wattana,11,1555,1104,0.969004445132317,0.7553772379137498,723,481,4888,2860,757,418,6420,3386,80,46,1444,883,18,4,281,110,6,3,0.0,0.6666666666666666,2214
Mark Selby,Liang Wenbo,11,1639,1393,0.849758322889838,0.6490805242445733,889,607,6477,3763,481,289,3309,1825,101,66,1163,710,71,38,934,521,6,5,0.0,0.5454545454545454,2214
Joe Perry,Neil Robertson,11,1481,1539,0.4028914906484895,0.4638133797682053,905,536,6548,3538,763,496,5639,3208,77,40,1069,616,50,25,1123,664,6,2,0.0,0.75,2214
Shaun Murphy,Sam Baird,11,1583,1311,0.8734682358009771,0.6637386974043528,885,580,6548,3737,262,139,1779,920,108,59,1374,825,43,21,522,269,6,1,0.0,0.8571428571428571,2214
Ding Junhui,Ricky Walden,11,1458,1466,0.4864675502669957,0.4950001666600003,611,406,4543,2588,673,415,4827,2693,69,34,797,465,73,42,942,547,6,5,0.0,0.5454545454545454,2214
Michael Holt,Ronnie O'Sullivan,11,1352,1682,0.08366922211424288,0.3047033306524346,684,401,5016,2669,1089,827,9596,5845,61,28,831,438,153,99,753,492,6,4,0.0,0.6,2214
John Higgins,Zhou Yuelong,11,1647,1327,0.9098789181107124,0.6899744811276125,1261,893,10186,6023,93,50,621,324,204,130,1263,750,54,28,457,245,6,2,0.0,0.75,2214
Stuart Bingham,Ali Carter,11,1526,1497,0.5489363138849731,0.5181170650431814,923,580,6760,3833,783,468,5550,3052,92,49,1264,735,63,34,619,338,6,1,0.0,0.8571428571428571,2214
Judd Trump,Shaun Murphy,11,1555,1583,0.4527427474759105,0.48250714233361025,723,481,4888,2860,885,580,6548,3737,80,46,1444,883,108,59,1374,825,6,5,0.0,0.5454545454545454,2214
Mark Selby,Joe Perry,11,1639,1481,0.7479197113297592,0.5974857658270161,889,607,6477,3763,905,536,6548,3538,101,66,1163,710,77,40,1069,616,6,3,0.0,0.6666666666666666,2214
Ding Junhui,John Higgins,11,1458,1647,0.21245345075762884,0.3840246980818742,611,406,4543,2588,1261,893,10186,6023,69,34,797,465,204,130,1263,750,6,2,0.0,0.75,2214
Stuart Bingham,Michael Holt,11,1526,1352,0.7688634929501181,0.6070669880717036,923,580,6760,3833,684,401,5016,2669,92,49,1264,735,61,28,831,438,6,5,0.0,0.5454545454545454,2214
Mark Selby,Stuart Bingham,17,1639,1526,0.7224204958631516,0.5701590253818352,889,607,6477,3763,923,580,6760,3833,101,66,1163,710,92,49,1264,735,9,3,0.0,0.75,2214
Ding Junhui,Judd Trump,17,1458,1555,0.3061764226837373,0.4396703573114467,611,406,4543,2588,723,481,4888,2860,69,34,797,465,80,46,1444,883,9,4,0.0,0.6923076923076923,2214
Mark Selby,Ding Junhui,19,1639,1458,0.8401553590009502,0.6112334666758695,889,607,6477,3763,611,406,4543,2588,101,66,1163,710,69,34,797,465,10,1,0.0,0.9090909090909091,2214
Zhou Yuelong,Jimmy White,7,1348,1227,0.660530062626431,0.5750535485557879,97,53,657,344,1374,773,11858,6250,90,48,493,265,42,20,432,199,4,3,0.0,0.5714285714285714,2245
Mei Xiwen,Darryl Hill,7,1214,1029,0.7360780864464773,0.6136070778047783,50,24,335,162,43,14,284,117,60,30,110,56,27,7,188,72,4,1,0.0,0.8,2245
Zhao Xintong,Wang Yuchen,7,1332,1078,0.8060824586598727,0.653622330899504,76,42,495,273,33,11,213,87,46,20,320,174,50,24,118,51,4,0,0.0,1.0,2245
Ben Woollaston,Cao Yupeng,7,1357,1203,0.7006252854909363,0.595078473866134,467,269,3038,1624,182,90,1320,661,54,24,750,391,26,6,405,196,4,1,0.0,0.8,2245
Kyren Wilson,Wayne Townsend,7,1450,1021,0.9248057667294741,0.7450720559074311,297,181,1898,1045,32,16,205,105,69,40,651,361,0,0,35,18,4,0,0.0,1.0,2245
