player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Joe O'Connor,John Higgins,11,1275,1535,0.1371156226654094,0.3429895373265011,122,57,780,376,1501,1064,12063,7125,137,69,323,161,438,247,1511,890,6,2,0.0,0.75,2856
Barry Hawkins,Lu Ning,11,1520,1339,0.7776988853286149,0.6112334666758694,1033,647,7390,4126,121,54,833,399,238,133,1352,776,144,75,368,201,5,6,1.0,0.4545454545454546,2856
Pang Junxu,Alan McManus,11,1049,1316,0.13086748329031228,0.3390568584408371,18,5,124,51,965,567,8036,4257,72,34,72,34,141,71,572,291,2,6,1.0,0.25,2856
Nigel Bond,Anthony McGill,11,1275,1366,0.34992588488134135,0.4433690400777467,896,486,7038,3666,549,331,3614,1974,135,62,496,221,207,107,997,520,4,6,1.0,0.4,2856
Stephen Maguire,Xu Si,11,1472,1263,0.8109765513000483,0.6277321638605189,1014,670,7466,4246,76,29,528,235,300,170,1206,687,128,67,414,188,6,1,0.0,0.8571428571428571,2856
Jack Lisowski,John Astley,11,1487,1287,0.8006450896034027,0.6224593312018546,494,306,3293,1826,228,104,1476,693,207,124,1016,593,119,55,525,248,6,2,0.0,0.75,2856
Rod Lawler,Thor Chuan Leong,11,1173,1169,0.5067672397621659,0.5024999791668749,836,441,6319,3236,117,36,772,324,77,26,368,141,68,20,415,183,6,2,0.0,0.75,2856
Alexander Ursenbacher,Mark King,11,1251,1371,0.3057318590991053,0.42555748318834097,147,66,926,430,996,559,7276,3841,172,87,496,235,150,80,896,486,1,6,1.0,0.1428571428571429,2856
Xiao Guodong,Michael Holt,11,1400,1372,0.5472572525240895,0.5174928576663897,484,286,3282,1818,873,502,6301,3344,193,107,801,453,171,95,779,403,4,6,1.0,0.4,2856
Adam Stefanow,Andrew Higginson,11,1112,1315,0.19587233662717585,0.3757797665027358,86,32,524,230,749,440,5316,2897,75,26,274,109,138,68,613,313,1,6,1.0,0.1428571428571429,2856
