player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Zhou Yuelong,Michael Wild,9,1384,1128,0.8362016064954723,0.6547534606063192,153,86,1070,565,298,157,1831,965,232,127,776,417,39,14,196,70,5,4,0.0,0.5555555555555556,2264
Ben Woollaston,Igor Figueiredo,9,1422,1193,0.8097901791567259,0.6393398367530659,558,321,3631,1944,90,44,684,326,280,157,1062,566,17,7,145,59,5,1,0.0,0.8333333333333334,2264
Kyren Wilson,Michael Georgiou,9,1454,1281,0.7468086860638347,0.6064704870683034,406,250,2665,1468,198,92,1219,596,341,187,1178,662,152,71,583,282,5,2,0.0,0.7142857142857143,2264
Duane Jones,Gary Wilson,9,1191,1381,0.2329346550372695,0.38343349547868066,152,79,900,470,380,221,2468,1343,133,55,393,174,229,123,708,374,2,5,1.0,0.2857142857142857,2264
Zhao Xintong,Mark Williams,9,1360,1575,0.20493240218576014,0.3687693373835995,121,63,815,434,1334,880,10108,5814,154,76,502,266,387,253,1486,894,3,5,1.0,0.375,2264
Jamie Barrett,Robbie Williams,9,1022,1347,0.10807699747935584,0.30735801686526387,71,28,418,177,340,184,2222,1138,100,26,249,93,183,91,669,339,1,5,1.0,0.16666666666666663,2264
Sam Baird,Jimmy White,9,1320,1198,0.6806355880474417,0.5756643510425494,317,166,2207,1138,1412,787,12098,6351,160,79,675,345,130,51,413,177,4,5,1.0,0.4444444444444444,2264
Kritsanut Lertsattayathorn,Michael White,9,1204,1396,0.23061517213788674,0.382252125230751,29,13,225,110,451,261,3047,1625,24,9,152,71,270,148,1092,580,4,5,1.0,0.4444444444444444,2264
Itaro Santos,Liang Wenbo,9,861,1456,0.013829653279872844,0.18429726028236693,83,22,473,170,568,346,3974,2202,10,0,89,13,241,135,1226,694,0,5,1.0,0.0,2264
Marco Fu,Daniel Wells,9,1442,1279,0.734452074391392,0.6004882745269663,845,503,6298,3431,329,160,2221,1098,271,144,1208,675,171,83,594,296,3,5,1.0,0.375,2264
Zhang Yong,Ricky Walden,9,1152,1310,0.2718447863126251,0.40251423417298393,81,32,507,214,787,477,5564,3072,171,78,414,176,252,131,1115,597,1,5,1.0,0.16666666666666663,2264
Dechawat Poomjaeng,Hossein Vafaei,9,1279,1335,0.41456512697593095,0.4650570548417855,233,124,1694,862,82,45,639,323,31,14,481,241,226,119,461,231,4,5,1.0,0.4444444444444444,2264
Jason Weston,Judd Trump,9,1057,1583,0.024825172678054397,0.21165136599190104,307,161,2354,1212,835,564,5655,3339,30,11,251,91,296,185,1484,912,0,5,1.0,0.0,2264
Allan Taylor,Ken Doherty,9,1221,1364,0.2911925553363697,0.4115648798723618,277,130,1661,813,1110,677,9070,4981,170,80,466,195,200,108,664,331,5,3,0.0,0.625,2264
Matthew Stevens,Josh Boileau,9,1328,1053,0.853217103541739,0.665410558746814,916,535,7093,3860,76,31,439,195,157,74,700,364,100,32,278,111,5,3,0.0,0.625,2264
Jamie Jones,Eden Sharav,9,1363,1176,0.7635607177077729,0.6147918694922194,476,285,3165,1718,123,58,762,358,201,106,765,410,142,58,439,183,3,5,1.0,0.375,2264
Matthew Selt,Craig Steadman,9,1365,1229,0.699552494810083,0.5841905229354074,527,289,3624,1900,413,222,2740,1431,192,96,1045,562,131,54,553,257,5,0,0.0,1.0,2264
Adam Stefanow,Mark Selby,9,1122,1617,0.031888252747695245,0.22487144668264347,55,26,302,148,1025,711,7507,4391,52,27,206,99,370,219,1639,1010,3,5,1.0,0.375,2264
Tom Ford,Noppon Saengkham,9,1399,1322,0.6166307742060855,0.5479769376367964,578,332,4127,2207,193,87,1413,666,268,150,864,474,254,131,712,340,3,5,1.0,0.375,2264
Cao Yupeng,Jimmy Robertson,9,1396,1410,0.47847778239744565,0.49125089311975967,236,120,1707,866,445,244,3031,1583,257,144,577,290,267,145,869,475,3,5,1.0,0.375,2264
David John,Joe Perry,9,1080,1429,0.09248628607839238,0.29473437040922057,88,39,579,270,999,594,7188,3892,44,8,182,70,252,143,1195,678,0,5,1.0,0.0,2264
Ian Preece,Tian Pengfei,9,1263,1336,0.3892573801791681,0.4545012127872179,210,114,1538,794,356,200,2379,1271,153,72,273,135,190,101,656,349,1,5,1.0,0.16666666666666663,2264
Fraser Patrick,Ryan Day,9,1175,1445,0.1511353321878659,0.3373781628299174,189,78,1248,570,865,525,6052,3338,49,23,335,142,290,156,1186,666,5,2,0.0,0.7142857142857143,2264
James Cahill,Ronnie O'Sullivan,9,1162,1667,0.02943979096691718,0.22054383136175326,133,46,865,367,1182,904,10312,6305,49,25,341,140,378,245,1077,692,3,5,1.0,0.375,2264
Martin O'Donnell,Thepchaiya Un-Nooh,9,1287,1367,0.3789715319699309,0.4501660026875221,290,141,1819,914,298,171,2165,1147,218,113,584,299,249,130,936,499,5,4,0.0,0.5555555555555556,2264
Nigel Bond,Fergal O'Brien,9,1234,1319,0.3716787694063233,0.44707401186709406,840,459,6662,3494,857,489,6482,3415,120,49,483,213,211,99,876,450,3,5,1.0,0.375,2264
Sydney Wilson,Shaun Murphy,9,1155,1516,0.08537508147535844,0.28853701766979867,173,64,1038,462,978,645,7240,4140,59,34,348,141,375,215,1321,783,1,5,1.0,0.16666666666666663,2264
Dominic Dale,Ross Muir,9,1357,1207,0.7179202766572512,0.5926665999540698,897,515,6422,3430,136,49,933,414,179,96,956,511,142,60,518,229,2,5,1.0,0.2857142857142857,2264
Mei Xiwen,Robert Milkins,9,1266,1358,0.3615502393508656,0.4427521454014445,82,40,546,270,814,490,5946,3231,132,61,290,149,229,123,1024,541,3,5,1.0,0.375,2264
Barry Hawkins,Aditya Mehta,9,1467,1226,0.821852132321323,0.6462280583309004,871,535,6281,3478,275,133,1886,923,243,128,1120,618,143,61,428,191,2,5,1.0,0.2857142857142857,2264
Chen Zhe,Alan McManus,9,1184,1371,0.236439282292227,0.38520813050778047,193,92,1196,581,916,545,7668,4076,110,40,275,120,204,110,826,448,1,5,1.0,0.16666666666666663,2264
Rory McLeod,Daniel Womersley,9,1265,1012,0.8333964892426636,0.6530561132866127,554,302,4149,2149,18,6,112,48,221,103,682,330,13,5,112,48,5,2,0.0,0.7142857142857143,2264
