player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Zhou Yuelong,Michael Wild,9,1384,1128,0.8362016064954723,0.6547534606063192,153,86,1070,565,298,157,1831,965,232,127,776,417,39,14,196,70,5,4,0.0,0.5555555555555556,2264
Ben Woollaston,Igor Figueiredo,9,1422,1193,0.8097901791567259,0.6393398367530659,558,321,3631,1944,90,44,684,326,280,157,1062,566,17,7,145,59,5,1,0.0,0.8333333333333334,2264
Kyren Wilson,Michael Georgiou,9,1454,1281,0.7468086860638347,0.6064704870683034,406,250,2665,1468,198,92,1219,596,341,187,1178,662,152,71,583,282,5,2,0.0,0.7142857142857143,2264
Gary Wilson,Duane Jones,9,1381,1191,0.7670653449627305,0.6165665045213193,380,221,2468,1343,152,79,900,470,229,123,708,374,133,55,393,174,5,2,0.0,0.7142857142857143,2264
Mark Williams,Zhao Xintong,9,1575,1360,0.7950675978142399,0.6312306626164005,1334,880,10108,5814,121,63,815,434,387,253,1486,894,154,76,502,266,5,3,0.0,0.625,2264
Robbie Williams,Jamie Barrett,9,1347,1022,0.8919230025206442,0.6926419831347361,340,184,2222,1138,71,28,418,177,183,91,669,339,100,26,249,93,5,1,0.0,0.8333333333333334,2264
Jimmy White,Sam Baird,9,1198,1320,0.31936441195255827,0.42433564895745063,1412,787,12098,6351,317,166,2207,1138,130,51,413,177,160,79,675,345,5,4,0.0,0.5555555555555556,2264
Michael White,Kritsanut Lertsattayathorn,9,1396,1204,0.7693848278621133,0.617747874769249,451,261,3047,1625,29,13,225,110,270,148,1092,580,24,9,152,71,5,4,0.0,0.5555555555555556,2264
Liang Wenbo,Itaro Santos,9,1456,861,0.9861703467201272,0.8157027397176331,568,346,3974,2202,83,22,473,170,241,135,1226,694,10,0,89,13,5,0,0.0,1.0,2264
Daniel Wells,Marco Fu,9,1279,1442,0.2655479256086079,0.3995117254730337,329,160,2221,1098,845,503,6298,3431,171,83,594,296,271,144,1208,675,5,3,0.0,0.625,2264
Ricky Walden,Zhang Yong,9,1310,1152,0.7281552136873749,0.5974857658270161,787,477,5564,3072,81,32,507,214,252,131,1115,597,171,78,414,176,5,1,0.0,0.8333333333333334,2264
Hossein Vafaei,Dechawat Poomjaeng,9,1335,1279,0.585434873024069,0.5349429451582145,82,45,639,323,233,124,1694,862,226,119,461,231,31,14,481,241,5,4,0.0,0.5555555555555556,2264
Judd Trump,Jason Weston,9,1583,1057,0.9751748273219457,0.788348634008099,835,564,5655,3339,307,161,2354,1212,296,185,1484,912,30,11,251,91,5,0,0.0,1.0,2264
Allan Taylor,Ken Doherty,9,1221,1364,0.2911925553363697,0.4115648798723618,277,130,1661,813,1110,677,9070,4981,170,80,466,195,200,108,664,331,5,3,0.0,0.625,2264
Matthew Stevens,Josh Boileau,9,1328,1053,0.853217103541739,0.665410558746814,916,535,7093,3860,76,31,439,195,157,74,700,364,100,32,278,111,5,3,0.0,0.625,2264
Eden Sharav,Jamie Jones,9,1176,1363,0.2364392822922271,0.3852081305077805,123,58,762,358,476,285,3165,1718,142,58,439,183,201,106,765,410,5,3,0.0,0.625,2264
Matthew Selt,Craig Steadman,9,1365,1229,0.699552494810083,0.5841905229354074,527,289,3624,1900,413,222,2740,1431,192,96,1045,562,131,54,553,257,5,0,0.0,1.0,2264
Mark Selby,Adam Stefanow,9,1617,1122,0.9681117472523049,0.7751285533173565,1025,711,7507,4391,55,26,302,148,370,219,1639,1010,52,27,206,99,5,3,0.0,0.625,2264
Noppon Saengkham,Tom Ford,9,1322,1399,0.3833692257939145,0.4520230623632036,193,87,1413,666,578,332,4127,2207,254,131,712,340,268,150,864,474,5,3,0.0,0.625,2264
Jimmy Robertson,Cao Yupeng,9,1410,1396,0.5215222176025543,0.5087491068802403,445,244,3031,1583,236,120,1707,866,267,145,869,475,257,144,577,290,5,3,0.0,0.625,2264
Joe Perry,David John,9,1429,1080,0.9075137139216076,0.7052656295907794,999,594,7188,3892,88,39,579,270,252,143,1195,678,44,8,182,70,5,0,0.0,1.0,2264
Tian Pengfei,Ian Preece,9,1336,1263,0.6107426198208319,0.5454987872127821,356,200,2379,1271,210,114,1538,794,190,101,656,349,153,72,273,135,5,1,0.0,0.8333333333333334,2264
Fraser Patrick,Ryan Day,9,1175,1445,0.15113533218786596,0.33737816282991745,189,78,1248,570,865,525,6052,3338,49,23,335,142,290,156,1186,666,5,2,0.0,0.7142857142857143,2264
Ronnie O'Sullivan,James Cahill,9,1667,1162,0.9705602090330827,0.7794561686382467,1182,904,10312,6305,133,46,865,367,378,245,1077,692,49,25,341,140,5,3,0.0,0.625,2264
Martin O'Donnell,Thepchaiya Un-Nooh,9,1287,1367,0.37897153196993094,0.45016600268752216,290,141,1819,914,298,171,2165,1147,218,113,584,299,249,130,936,499,5,4,0.0,0.5555555555555556,2264
Fergal O'Brien,Nigel Bond,9,1319,1234,0.6283212305936767,0.5529259881329059,857,489,6482,3415,840,459,6662,3494,211,99,876,450,120,49,483,213,5,3,0.0,0.625,2264
Shaun Murphy,Sydney Wilson,9,1516,1155,0.9146249185246416,0.7114629823302013,978,645,7240,4140,173,64,1038,462,375,215,1321,783,59,34,348,141,5,1,0.0,0.8333333333333334,2264
Ross Muir,Dominic Dale,9,1207,1357,0.2820797233427488,0.40733340004593027,136,49,933,414,897,515,6422,3430,142,60,518,229,179,96,956,511,5,2,0.0,0.7142857142857143,2264
Robert Milkins,Mei Xiwen,9,1358,1266,0.6384497606491344,0.5572478545985555,814,490,5946,3231,82,40,546,270,229,123,1024,541,132,61,290,149,5,3,0.0,0.625,2264
Aditya Mehta,Barry Hawkins,9,1226,1467,0.17814786767867696,0.3537719416690997,275,133,1886,923,871,535,6281,3478,143,61,428,191,243,128,1120,618,5,2,0.0,0.7142857142857143,2264
Alan McManus,Chen Zhe,9,1371,1184,0.763560717707773,0.6147918694922195,916,545,7668,4076,193,92,1196,581,204,110,826,448,110,40,275,120,5,1,0.0,0.8333333333333334,2264
Rory McLeod,Daniel Womersley,9,1265,1012,0.8333964892426636,0.6530561132866127,554,302,4149,2149,18,6,112,48,221,103,682,330,13,5,112,48,5,2,0.0,0.7142857142857143,2264
