player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Ryan Causton,Louis Heathcote,7,1044,1025,0.5259570402770714,0.5118727677562528,111,56,589,286,24,9,134,57,34,15,192,91,56,25,116,49,4,1,0.0,0.8,1363
Ashley Carty,Gary Frederick,7,1201,1000,0.7534472409879828,0.6230466603666162,103,53,602,307,0,0,0,0,24,9,391,204,0,0,0,0,4,1,0.0,0.8,1363
Sam Craigie,Oliver Brown,7,1304,1169,0.6778138346852377,0.5835831155172753,115,61,695,368,160,70,884,414,127,63,251,142,75,36,373,185,1,4,1.0,0.19999999999999996,1363
Mohammed Rangzib,Richard Beckham,7,1061,1088,0.46314191782022096,0.4831314043086151,50,26,324,173,37,21,196,103,8,4,47,22,31,15,193,103,0,4,1.0,0.0,1363
Rafał Jewtuch,Mateusz Baranowski,7,983,1037,0.426617737721668,0.46630116456709914,5,2,27,11,26,12,147,67,0,0,22,10,50,15,142,66,0,4,1.0,0.0,1363
Joshua Baddeley,Adam Longley,7,986,924,0.5840920587766287,0.538672605206508,20,8,108,51,17,4,90,32,22,10,108,51,17,5,48,17,4,0,0.0,1.0,1363
Ben Woollaston,Andreas Ploner,7,1365,1078,0.834882617465889,0.6720562626502714,496,283,3245,1730,47,21,251,119,261,130,957,497,41,23,205,98,4,1,0.0,0.8,1363
Kyren Wilson,Duane Jones,7,1427,1252,0.7248939369984414,0.6076631698328917,327,201,2147,1182,128,71,751,412,318,177,900,498,143,65,336,171,4,1,0.0,0.8,1363
Kishan Hirani,Michael White,7,1089,1328,0.2080274894524583,0.354915862427273,118,54,640,303,387,222,2665,1419,57,26,238,122,263,131,1065,570,1,4,1.0,0.19999999999999996,1363
Lee Walker,Gareth Green,7,1261,1087,0.7237619985420221,0.6070669880717036,416,232,3244,1679,63,32,350,165,160,73,473,226,34,21,92,47,4,1,0.0,0.8,1363
Thepchaiya Un-Nooh,Gary Wilson,7,1399,1356,0.5585634499391967,0.5268491486891144,259,150,1882,1001,343,200,2220,1211,267,135,949,516,186,99,686,350,4,2,0.0,0.6666666666666666,1363
Elliot Slessor,Liang Wenbo,7,1173,1457,0.1676076478223926,0.3295988401911314,117,50,700,319,522,319,3647,2021,112,47,438,196,409,234,1272,717,4,0,0.0,1.0,1363
Eden Sharav,Zak Surety,7,1165,1168,0.4958985144028909,0.498125008789013,100,51,594,289,114,52,679,323,110,44,453,215,125,63,382,173,4,2,0.0,0.6666666666666666,1363
Ashley Carty,Matthew Selt,7,1201,1374,0.27737236637321594,0.3935295129316966,103,53,602,307,479,263,3339,1753,24,9,391,204,224,118,1129,640,3,4,1.0,0.4285714285714286,1363
Mark Selby,Joe Roberts,7,1580,1081,0.9516125863388,0.7768667992127082,933,643,6887,4015,43,25,234,123,511,318,1573,962,43,25,161,84,4,2,0.0,0.6666666666666666,1363
Michael Wasley,Jimmy Robertson,7,1220,1387,0.28422903752276774,0.39711513267253384,247,120,1587,771,404,219,2716,1414,22,7,468,215,207,119,883,482,2,4,1.0,0.33333333333333337,1363
Dechawat Poomjaeng,Alan McManus,7,1269,1450,0.2683658456228286,0.3887665333241305,223,119,1615,822,880,526,7420,3941,160,78,766,395,280,146,998,550,4,3,0.0,0.5714285714285714,1363
Ashley Hugill,Joe Perry,7,1136,1465,0.132922330601413,0.3052332371262195,66,32,365,177,937,557,6804,3682,133,62,343,167,333,184,1325,760,2,4,1.0,0.33333333333333337,1363
Tian Pengfei,Adam Stefanow,7,1314,1087,0.7802322205466414,0.6381861133090055,322,182,2143,1146,44,20,235,112,151,65,712,387,119,59,174,82,4,1,0.0,0.8,1363
Fraser Patrick,Stuart Bingham,7,1179,1561,0.0991817275108847,0.2778803941506427,180,75,1181,540,975,620,7157,4081,119,50,475,206,489,297,1661,983,4,3,0.0,0.5714285714285714,1363
Sean O'Sullivan,Michael Georgiou,7,1219,1290,0.4039387802743521,0.4557411415821268,163,71,1026,485,169,80,1036,510,128,56,553,278,201,105,571,288,4,2,0.0,0.6666666666666666,1363
Martin O'Donnell,Mateusz Baranowski,7,1280,1037,0.7957969165005263,0.647370307581549,253,121,1556,778,26,12,147,67,160,82,523,275,50,15,142,66,4,1,0.0,0.8,1363
Fergal O'Brien,Oliver Brown,7,1359,1169,0.7415764082537253,0.6165665045213193,813,466,6172,3267,160,70,884,414,199,104,849,457,75,36,373,185,4,1,0.0,0.8,1363
