player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage
Andrew Pagett,Si Jiahui,7,1104,1456,0.11736356358571876,0.2931777789064324,335,145,2133,1001,165,89,1069,568,27,11,300,116,72,43,645,348,2,4,1.0,0.33333333333333337
Aaron Hill,Mark Selby,7,1309,1565,0.1920840951325451,0.3452465393936808,113,51,653,313,1551,1061,11028,6424,32,15,447,231,160,92,1090,622,4,2,0.0,0.6666666666666666
John Higgins,Tian Pengfei,7,1555,1287,0.8186786074572162,0.6615031592029524,1859,1311,14361,8470,553,305,3615,1904,182,100,1146,658,28,13,395,194,4,1,0.0,0.8
Barry Hawkins,Xiao Guodong,7,1553,1398,0.7018040708685593,0.5956807306078472,1334,835,9145,5129,743,427,4624,2527,124,71,807,469,73,32,805,419,4,3,0.0,0.5714285714285714
Kyren Wilson,Anthony Hamilton,7,1483,1255,0.7812257884147848,0.6387631751488421,1033,654,6486,3648,1038,588,7604,4002,287,153,1179,677,14,4,387,184,1,4,1.0,0.19999999999999996
David Gilbert,Oliver Lines,7,1440,1338,0.6364932182719292,0.5634067862621936,931,541,6343,3426,364,174,2177,1067,47,24,613,331,13,3,385,187,4,2,0.0,0.6666666666666666
Zak Surety,Marco Fu,7,1267,1359,0.3763991151094567,0.4427521454014445,241,109,1370,651,959,560,7162,3876,35,18,383,187,20,9,296,145,3,4,1.0,0.4285714285714286
Ian Burns,Tom Ford,7,1270,1452,0.26725111949257796,0.38817263099826294,488,238,3058,1517,932,533,6320,3378,13,3,353,161,77,40,810,434,2,4,1.0,0.33333333333333337
Dylan Emery,Noppon Saengkham,7,1237,1396,0.2935034213233491,0.4019131396677965,107,47,598,288,453,236,3071,1551,16,6,324,158,62,28,687,368,4,2,0.0,0.6666666666666666
Jamie Clarke,Adam Duffy,7,1317,1111,0.7587387600845146,0.6259778577666038,325,162,1927,959,426,203,2678,1325,27,12,445,217,15,6,256,103,0,4,1.0,0.0
