player1,player2,best_of,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,match_result,win_percentage
Fung Kwok Wai,Yisong Peng,7,0.5191328123553782,0.5087491068802403,38,20,228,121,47,14,297,120,0,0,74,47,0,0,243,104,1.0,0.0
Sunny Wang,Pawaris Ngamkham,7,0.5327731710226207,0.5149955016194101,0,0,0,0,3,1,16,5,0,0,0,0,0,0,16,5,1.0,0.19999999999999996
Arman Mardanighafarokhi,Chatchapong Nasa,7,0.5177671819164107,0.5081242849062608,3,1,15,5,9,2,54,21,0,0,15,5,0,0,30,11,1.0,0.0
Mubashir Raza,Wan Nansen Sin Man,7,0.49726564778627314,0.49875000260416014,12,7,67,37,7,4,36,20,0,0,37,21,0,0,30,18,1.0,0.4285714285714286
Rana Mahmood,Hon Man Chau,7,0.47677179802309366,0.48937659899503627,0,0,0,0,5,4,29,16,0,0,0,0,0,0,29,16,1.0,0.33333333333333337
Cao Zeyi,Liu Linhao,7,0.47677179802309366,0.48937659899503627,2,0,11,3,0,0,0,0,0,0,11,3,0,0,0,0,1.0,0.19999999999999996
Yu Kiu Chang,Chen Ruifu,7,0.5517972899579606,0.523732154126561,29,15,170,86,17,7,90,43,0,0,64,36,0,0,0,0,0.0,0.6666666666666666
Chaiyasap Kitjaroenchai,Passakorn Sittikrai,7,0.5123026114255715,0.5056247627073255,0,0,0,0,3,1,19,8,0,0,0,0,0,0,19,8,0.0,0.6666666666666666
Putthakam Kimsuk,Luo Chenliang,7,0.5934092174000843,0.5430183807243099,17,11,94,53,2,0,9,1,0,0,71,41,0,0,9,1,0.0,1.0
Patipaan Wonghun,Deng Jinhong,7,0.516401329564288,0.5074994375506203,2,0,8,0,5,1,27,8,0,0,8,0,0,0,23,8,1.0,0.19999999999999996
Zhou Jinhao,Wang Yuhang,7,0.5747243219334544,0.5343209436693046,13,5,95,41,1,0,5,0,28,12,95,41,5,0,5,0,0.0,1.0
Xu Jianhao,Pongsakron Chongjairak (II),7,0.4454942008640322,0.47502081252106,0,0,0,0,12,6,68,38,0,0,0,0,0,0,30,14,0.0,0.5714285714285714
Abdul Javed,Hamza Akbar,7,0.3868205508364956,0.4476920904256748,0,0,0,0,86,27,525,203,0,0,0,0,0,0,42,21,0.0,0.5714285714285714
Lomnaw Issarangkun,Yao Dongcheng,7,0.4645031181885513,0.4837557189379275,2,0,9,1,0,0,0,0,0,0,9,1,0,0,0,0,0.0,0.5714285714285714
Thor Chuan Leong,Amin Sanjaei,7,0.7995764997363425,0.6496497492904088,206,77,1306,584,14,8,75,37,62,30,363,178,0,0,56,27,0.0,0.8
Nattanapong Chaikul,Jaden Ong Jia Jun,7,0.5300478260158454,0.513746534902355,15,8,82,41,7,3,38,18,0,0,52,29,0,0,38,18,0.0,0.6666666666666666
Babar Masih,Mohsin Amin,7,0.5095693356278296,0.5043748883497734,11,3,73,31,0,0,0,0,0,0,35,17,0,0,0,0,1.0,0.4285714285714286
Prin Ratmukda,Muhammad Ahsan Javaid,7,0.5,0.5,8,4,42,20,12,6,66,32,0,0,42,20,0,0,53,27,1.0,0.33333333333333337
Xing Zihao,Thanawat Thirapongpaiboon,7,0.4414365500608033,0.4731508513108857,50,20,332,151,176,79,1226,585,54,23,332,151,0,0,0,0,0.0,0.5714285714285714
Lomnaw Issarangkun,Luo Zetao,7,0.44414095234189244,0.4743974116753822,2,0,9,1,13,6,65,31,0,0,9,1,0,0,47,29,1.0,0.0
Feng Yu,Yu Kiu Chang,7,0.402614530473413,0.4551211076264199,10,5,56,26,29,15,170,86,0,0,23,12,0,0,64,36,0.0,0.5714285714285714
Tammada Pukpleayn,Liu Wenwei,7,0.5204982038546297,0.5093739015216607,0,0,0,0,7,3,39,17,0,0,0,0,0,0,39,17,1.0,0.0
Xu Yichen,Chhay Suon,7,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.19999999999999996
Muhammad Ahsan Javaid,Chen Qien,7,0.4904306643721703,0.4956251116502265,12,6,66,32,0,0,0,0,0,0,53,27,0,0,0,0,1.0,0.4285714285714286
Yisong Peng,Wan Nansen Sin Man,7,0.5840920587766287,0.538672605206508,47,14,297,120,7,4,36,20,0,0,243,104,0,0,30,18,0.0,0.6666666666666666
Shrikrishna Suryanarayanan,Chatchapong Nasa,7,0.5259570402770715,0.5118727677562528,8,3,43,17,9,2,54,21,0,0,39,17,0,0,30,11,1.0,0.19999999999999996
Zhang Zhijie,Liu Linhao,7,0.5054685677142576,0.5024999791668749,16,8,81,40,0,0,0,0,0,0,58,33,0,0,0,0,1.0,0.33333333333333337
Ritthichai Chimphanang,Chaiyasap Kitjaroenchai,7,0.523228201976906,0.5106234010049636,5,3,27,16,0,0,0,0,0,0,27,16,0,0,0,0,1.0,0.4285714285714286
Pawaris Ngamkham,Deng Jinhong,7,0.523228201976906,0.5106234010049636,3,1,16,5,5,1,27,8,0,0,16,5,0,0,23,8,1.0,0.19999999999999996
Zhou Jinhao,Putthakam Kimsuk,7,0.5027343522137269,0.5012499973958399,13,5,95,41,17,11,94,53,28,12,95,41,0,0,71,41,0.0,0.8
Xu Jianhao,Thor Chuan Leong,7,0.1985505666258102,0.3492130792031651,0,0,0,0,206,77,1306,584,0,0,0,0,62,30,363,178,0.0,0.5714285714285714
Zhao Hanyang,Hon Man Chau,7,0.4319948632384636,0.4687906266262437,7,2,39,14,5,4,29,16,0,0,12,4,0,0,29,16,0.0,0.8
Muhammad Umar Khan,Nattanapong Chaikul,7,0.4904306643721703,0.4956251116502265,5,3,28,15,15,8,82,41,0,0,28,15,0,0,52,29,1.0,0.19999999999999996
Abdul Javed,Mohsin Amin,7,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.19999999999999996
Xing Zihao,Xu Jianhao,7,0.7491668212476215,0.6206951913643555,50,20,332,151,0,0,0,0,54,23,332,151,0,0,0,0,0.0,0.5714285714285714
Luo Zetao,Zhou Jinhao,7,0.4617811766046101,0.4825071423336102,13,6,65,31,13,5,95,41,0,0,47,29,28,12,95,41,0.0,0.8
Chen Qien,Liu Wenwei,7,0.5204982038546297,0.5093739015216607,0,0,0,0,7,3,39,17,0,0,0,0,0,0,39,17,1.0,0.33333333333333337
Deng Jinhong,Yisong Peng,7,0.3295463977795806,0.4200665998114942,5,1,27,8,47,14,297,120,0,0,23,8,0,0,243,104,1.0,0.19999999999999996
Chatchapong Nasa,Feng Yu,7,0.4631419178202212,0.4831314043086152,9,2,54,21,10,5,56,26,0,0,30,11,0,0,23,12,0.0,0.8
Liu Linhao,Chhay Suon,7,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6666666666666666
Chaiyasap Kitjaroenchai,Zhao Hanyang,7,0.5450150538752273,0.5206133097144487,0,0,0,0,7,2,39,14,0,0,0,0,0,0,12,4,1.0,0.0
Mohsin Amin,Nattanapong Chaikul,7,0.4795017961453705,0.49062609847833927,0,0,0,0,15,8,82,41,0,0,0,0,0,0,52,29,1.0,0.19999999999999996
Luo Zetao,Yisong Peng,7,0.4012914687549472,0.4545012127872179,13,6,65,31,47,14,297,120,0,0,47,29,0,0,243,104,0.0,0.6666666666666666
Nattanapong Chaikul,Liu Wenwei,7,0.5409388610739394,0.5187412158785352,15,8,82,41,7,3,39,17,0,0,52,29,0,0,39,17,1.0,0.4285714285714286
Zhao Hanyang,Chatchapong Nasa,7,0.5013671846516985,0.5006249996744794,7,2,39,14,9,2,54,21,0,0,12,4,0,0,30,11,1.0,0.33333333333333337
Xing Zihao,Liu Linhao,7,0.7491668212476215,0.6206951913643555,50,20,332,151,0,0,0,0,54,23,332,151,0,0,0,0,1.0,0.0
Luo Zetao,Liu Wenwei,7,0.5409388610739394,0.5187412158785352,13,6,65,31,7,3,39,17,0,0,47,29,0,0,39,17,1.0,0.4285714285714286
Chatchapong Nasa,Liu Linhao,7,0.4536273125253007,0.4787627850337259,9,2,54,21,0,0,0,0,0,0,30,11,0,0,0,0,0.0,1.0
Liu Yang,Feng Yu,7,0.5422981239384312,0.519365308229932,9,6,45,27,13,7,72,35,9,5,45,27,16,9,39,21,0.0,0.5714285714285714
Karar Najim,Soheil Vahedi,7,0.2650291458891243,0.3869858238606645,1,0,5,1,136,49,799,343,5,1,5,1,4,0,4,0,1.0,0.4285714285714286
Hrithik Jain,Laxman Rawat,7,0.30888492066734696,0.40974974806981657,17,3,88,27,34,16,175,84,4,0,33,10,4,0,56,29,1.0,0.19999999999999996
Narinton Tasurin,Manasawin Phetmalaikul,7,0.46858930565080326,0.4856289593029398,5,2,26,10,73,21,434,171,5,1,26,10,56,23,267,102,1.0,0.0
Wan Nansen Sin Man,Sahil Rana,7,0.5545057991359676,0.52497918747894,9,5,49,26,1,0,4,0,13,6,43,24,4,0,4,0,0.0,0.8
Rana Mahmood,Luo Honghao,7,0.2089905743017545,0.3554884462937054,1,0,6,2,131,63,771,374,6,2,6,2,4,0,44,27,0.0,0.6666666666666666
Fung Kwok Wai,Liu Linhao,7,0.5733822622783318,0.5336988354329009,39,20,232,121,5,4,25,16,4,0,78,47,25,16,25,16,1.0,0.33333333333333337
Digvijay Kadian,Tammada Pukpleayn,7,0.3960114084386784,0.4520230623632036,14,2,79,26,2,1,8,4,5,1,35,13,8,4,8,4,0.0,0.8
Zhou Jinhao,Xu Jianhao,7,0.549086208422272,0.5224848247918001,16,7,109,50,3,2,21,11,42,21,109,50,21,11,21,11,0.0,0.5714285714285714
Sunny Wang,Qin Jianfeng,7,0.5136690272711699,0.5062496744995104,1,0,5,1,5,1,28,9,5,1,5,1,7,3,7,3,1.0,0.19999999999999996
Patipaan Wonghun,Lomnaw Issarangkun,7,0.4931644185203322,0.4968750406894684,3,0,13,1,4,1,20,5,5,1,13,1,11,4,20,5,1.0,0.19999999999999996
Zhao Hanyang,Thitiphong Choolasak,7,0.4590611389260606,0.4812587841214648,10,4,54,24,10,5,59,32,15,10,27,14,7,3,25,11,0.0,0.8
Ali Gharahgozlou,Shrikrishna Suryanarayanan,7,0.573382262278332,0.5336988354329009,10,7,52,33,11,5,56,26,4,0,52,33,13,9,52,26,0.0,1.0
Yao Dongcheng,Muhammad Siddiqui (II),7,0.5354968818114487,0.5162442810620724,2,1,14,7,12,5,68,31,14,7,14,7,5,1,44,19,0.0,0.6666666666666666
Amin Sanjaei,Thor Chuan Leong,7,0.20042350026365752,0.35035025070959125,15,8,80,38,208,78,1318,591,5,1,61,28,74,37,375,185,1.0,0.4285714285714286
Usman Mumtaz,Ritthichai Chimphanang,7,0.44955793756481244,0.47689147451091096,1,0,4,0,7,4,40,23,4,0,4,0,13,7,40,23,1.0,0.0
