player1,player2,best_of,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,match_result,win_percentage
Long Zehuang,Haydon Pinhey,7,0.7192100641468833,0.6046790847140093,78,39,443,225,115,52,610,288,178,99,284,147,121,57,347,168,0.0,0.5714285714285714
Wang Yuchen,Andrew Pagett,7,0.5,0.5,100,37,626,268,352,153,2250,1055,74,38,158,89,144,65,417,170,0.0,0.8
Daniel Womersley,Ben Mertens,7,0.30055574355873826,0.4055240692517599,109,53,551,266,107,50,642,322,86,40,180,89,136,67,471,240,0.0,0.8
Jimmy White,Paul Deaville,7,0.5612649493584694,0.528095374408387,1577,844,13093,6755,32,17,158,79,85,31,384,153,97,51,126,66,0.0,0.5714285714285714
Alexander Ursenbacher,Mostafa Dorgham,7,0.8213053995393751,0.6631804950993565,286,129,1728,829,25,5,164,53,113,56,400,196,108,41,154,53,0.0,0.8
Chris Totten,Robbie Mcguigan,7,0.5800831913605062,0.5368082899889803,103,37,590,241,72,26,341,148,116,63,204,110,64,28,205,91,0.0,0.5714285714285714
Haris Tahir,Zak Surety,7,0.2167953403729519,0.36008390326226586,19,11,117,59,260,119,1496,716,92,47,117,59,161,83,509,252,0.0,0.5714285714285714
Ishpreet Singh Chadha,Florian Nüßle,7,0.5382188233953898,0.5174928576663897,50,28,298,156,77,36,410,212,155,75,298,156,47,26,194,116,0.0,0.8
Amir Sarkhosh,Cheung Ka Wai,7,0.38029641350050397,0.44460335167941084,37,16,238,118,33,20,193,113,67,29,113,53,87,43,193,113,0.0,0.6666666666666666
Bulcsú Révész,Iulian Boiko,7,0.4225943374899878,0.4644351620161461,24,11,163,77,110,42,616,269,112,54,163,77,139,67,382,192,0.0,0.5714285714285714
