player1,player2,best_of,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,match_result,win_percentage
Stuart Watson,Aaron Busuttil,7,0.3495133530299832,0.4298409746181647,68,18,375,145,35,19,187,93,0,0,44,22,0,0,56,30,0.0,0.6666666666666666
Alexander Ursenbacher,James Cahill,7,0.5960612197256479,0.5442588584178731,304,139,1866,903,330,138,2059,961,73,41,431,222,0,0,286,137,0.0,0.6666666666666666
Joshua Thomond,William Lemons,7,0.4781366606027012,0.4900013331200346,88,35,487,224,46,19,266,122,46,18,201,89,0,0,0,0,0.0,0.6666666666666666
Craig Steadman,Hammad Miah,7,0.4631419178202212,0.4831314043086152,585,308,3755,1935,308,123,1991,902,0,0,180,89,83,43,402,184,0.0,0.8
Zack Richardson,Lewis Ullah,7,0.6935058085008956,0.5914589784327801,84,43,463,254,36,15,198,89,0,0,81,45,0,0,90,45,0.0,0.8
Liam Pullen,Simon Bedford,7,0.3738083166216822,0.4415188875618386,68,30,411,188,468,272,3480,1878,44,17,341,154,0,0,66,41,0.0,1.0
George Pragnell (II),Neal Jones,7,0.5774056625100122,0.5355648379838539,25,14,155,81,166,74,1101,524,0,0,64,32,0,0,49,26,0.0,0.8
Andres Petrov,Anton Kazakov,7,0.6466907800352545,0.5683199834782481,71,24,441,183,58,10,344,113,0,0,216,81,30,11,268,90,0.0,0.8
Phil O'Kane,Steven Wardropper,7,0.622303251187688,0.5566309599222533,124,57,647,314,4,1,17,5,0,0,56,29,0,0,17,5,0.0,0.6666666666666666
Alex Millington,Alfie Burden,7,0.2329328755410797,0.3693514743489255,33,14,187,92,830,429,5880,2977,0,0,37,18,61,30,442,217,0.0,0.6666666666666666
Mark Lloyd,Sean Maddocks,7,0.5920814957526257,0.542397940774351,43,15,220,95,70,19,341,122,0,0,43,16,0,0,39,19,0.0,0.6666666666666666
Peter Lines,Andy Lavin,7,0.7393846765226212,0.6153837563911821,922,477,6488,3318,38,21,264,142,0,0,176,90,0,0,27,14,0.0,0.5714285714285714
Halim Hussain,Andrew Pagett,7,0.3457334311872113,0.4280038670684813,18,8,97,44,361,155,2312,1076,0,0,55,30,25,8,378,155,0.0,0.8
Ashley Hugill,Hamim Hussain,7,0.8239065989069515,0.6648537304059736,250,108,1516,721,49,19,223,98,0,0,279,131,0,0,49,26,0.0,1.0
Anthony Hamilton,Gary Thomson,7,0.6790334655716898,0.5841905229354074,1065,599,7808,4099,182,92,1277,648,54,22,418,191,0,0,39,19,0.0,0.6666666666666666
Brandon Hall,Daniel Boyes,7,0.4863309727288301,0.4937503255004896,36,15,180,79,1,0,1,0,0,0,52,32,0,0,1,0,0.0,0.6666666666666666
David Grace,Dean Young,7,0.6778138346852377,0.5835831155172753,501,230,3275,1582,125,47,694,293,50,23,413,188,59,25,387,165,0.0,0.5714285714285714
Umut Dikme,Joshua Cooper,7,0.5800831913605062,0.5368082899889803,47,23,254,125,77,30,411,183,0,0,89,41,33,12,136,60,0.0,0.8
Peter Devlin,Paul Deaville,7,0.5760654606907909,0.5349429451582145,117,50,591,270,41,18,215,97,0,0,42,18,34,10,181,83,0.0,0.5714285714285714
Ryan Davies,Keith Keldie,7,0.7134663824052628,0.6016871801828567,64,32,319,162,39,12,206,77,0,0,120,64,0,0,38,18,0.0,0.6666666666666666
Alfie Davies,Gerard Greene,7,0.4685893056508032,0.4856289593029398,37,21,194,106,840,428,6000,3062,0,0,151,83,0,0,117,57,0.0,0.5714285714285714
Alex Clenshaw,Barry Pinches,7,0.352042181008933,0.4310667906304534,34,14,156,77,881,443,6509,3331,0,0,59,35,0,0,240,116,0.0,1.0
Billy Joe Castle,Sean O'Sullivan,7,0.5218633393972989,0.5099986668799655,159,69,883,404,290,109,1810,800,0,0,59,30,0,0,235,99,0.0,0.6666666666666666
Ashley Carty,Ian Burns,7,0.3973295650806627,0.4526423818569107,300,139,1762,858,518,251,3283,1631,45,16,377,180,73,41,428,210,0.0,0.6666666666666666
Stuart Carrington,Andrew Higginson,7,0.5300478260158454,0.513746534902355,534,281,3385,1757,902,514,6247,3368,59,30,428,217,66,32,422,204,0.0,1.0
Oliver Brown,Manuel Ederer,7,0.7226276336267841,0.6064704870683034,279,123,1529,723,7,3,36,17,0,0,229,98,0,0,36,17,0.0,0.6666666666666666
Jack Bradford,Sean McAllister,7,0.4012914687549472,0.4545012127872179,73,25,400,169,43,20,228,112,0,0,53,23,0,0,74,42,0.0,0.6666666666666666
Connor Benzey,Simon Blackwell,7,0.4159079412233711,0.461327394793492,35,17,178,86,79,37,437,217,0,0,70,41,49,18,204,97,0.0,0.8
Mateusz Baranowski,Jenson Kendrick,7,0.4373854305872086,0.4712816430485603,62,29,353,172,79,28,487,205,24,12,41,21,0,0,246,100,0.0,0.5714285714285714
Daniel Womersley,Stuart Watson,7,0.6814665603465866,0.585404569129465,119,55,618,290,68,18,375,145,26,7,199,88,0,0,44,22,0.0,0.8
