player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage
Anthony Hamilton,Louis Heathcote,7,1250,1293,0.44143655006080335,0.4731508513108857,1053,596,7713,4057,203,93,1181,577,123,59,496,239,152,78,500,243,4,2,0.0,0.6666666666666666
He Guoqiang,Wang Yuchen,7,1277,1143,0.6765921632853334,0.5829754542011996,68,37,434,220,98,36,615,261,161,81,351,188,63,31,147,82,4,3,0.0,0.5714285714285714
Xiao Guodong,Mitchell Mann,7,1486,1171,0.856895920094142,0.6872942801972042,764,443,4798,2631,382,173,2303,1086,247,136,979,523,68,35,273,122,4,1,0.0,0.8
David Grace,Marco Fu,7,1212,1376,0.28768943450591145,0.3989121211516302,485,224,3169,1531,977,571,7284,3945,104,47,480,225,142,78,418,214,4,0,0.0,1.0
Mark Davis,Xing Zihao,7,1384,1163,0.774213209168811,0.6347154153791584,1320,784,9072,4931,33,13,205,93,150,82,532,267,105,49,205,93,4,1,0.0,0.8
Dominic Dale,Liam Davies,7,1296,1124,0.721490850613204,0.6058736684317606,1118,622,7734,4066,48,23,285,134,165,81,526,260,88,43,259,124,4,0,0.0,1.0
Jamie Clarke,Hammad Miah,7,1275,1204,0.5960612197256479,0.5442588584178731,339,169,2027,1006,292,117,1865,841,127,59,545,264,90,34,416,187,4,3,0.0,0.5714285714285714
Ian Burns,Martin O'Donnell,7,1259,1332,0.40129146875494726,0.45450121278721795,500,243,3147,1560,517,263,3208,1624,102,46,442,204,185,96,491,246,4,2,0.0,0.6666666666666666
Fan Zhengyi,Ryan Day,7,1384,1387,0.4958985144028909,0.498125008789013,190,83,1215,562,1320,780,8711,4739,201,109,714,376,286,147,992,518,4,1,0.0,0.8
Wu Yize,Stuart Bingham,7,1367,1434,0.4092473522241249,0.4582226307163632,118,59,815,413,1514,956,10488,5938,169,90,601,317,306,160,1000,530,4,3,0.0,0.5714285714285714
