,Name,Tournaments Played,Matches Played,Matches Won,Match-win percentage
99,Jimmy White,12,25,10,40%
100,David Grace,12,26,10,38.46%
101,Ken Doherty,12,28,10,35.71%
102,Alan McManus,6,16,9,56.25%
103,Michael Judge,8,18,9,50%
104,Ding Junhui,10,19,9,47.37%
105,Sanderson Lam,9,20,9,45%
106,Haydon Pinhey,7,23,9,39.13%
107,Lee Walker,11,24,9,37.5%
108,Billy Joe Castle,10,24,9,37.5%
109,Peter Devlin,12,24,9,37.5%
110,Ashley Carty,12,25,9,36%
111,Nigel Bond,12,25,9,36%
112,Barry Pinches,14,28,9,32.14%
113,Alfie Burden,7,14,8,57.14%
114,Mark Lloyd,8,18,8,44.44%
115,Oliver Brown,7,19,8,42.11%
116,Kuldesh Johal,7,21,8,38.1%
117,Jianbo Zhao,11,24,8,33.33%
118,Ashley Hugill,11,25,8,32%
119,Michael Holt,12,28,8,28.57%
120,Niel Vincent,3,10,7,70%
121,Sydney Wilson,4,13,7,53.85%
122,Riley Parsons,8,17,7,41.18%
123,Igor Figueiredo,8,19,7,36.84%
124,Paul Davison,9,20,7,35%
125,Eden Sharav,9,20,7,35%
126,Brandon Sargeant,9,20,7,35%
127,Daniel Womersley,7,20,7,35%
128,Chen Zifan,11,23,7,30.43%
129,Gao Yang,11,23,7,30.43%
130,Lukas Kleckers,12,24,7,29.17%
131,Jamie Wilson,12,25,7,28%
132,Ross Vallance,3,9,6,66.67%
133,Simon Blackwell,5,12,6,50%
134,Kacper Filipiak,5,14,6,42.86%
135,Daniel Wells,9,17,6,35.29%
136,Robbie Mcguigan,7,20,6,30%
137,Fan Zhengyi,11,21,6,28.57%
138,Rory McLeod,12,24,6,25%
139,Dean Young,12,25,6,24%
140,Lee Shanker,3,8,5,62.5%
141,Alex Taubman,3,8,5,62.5%
142,Tony Knowles,3,8,5,62.5%
143,Lewis Gillen,3,8,5,62.5%
144,Liam Pullen,3,8,5,62.5%
145,David Finbow,3,8,5,62.5%
146,Brian Cini,3,8,5,62.5%
147,David Donovan,3,8,5,62.5%
148,Harvey Chandler,3,8,5,62.5%
149,Ian Martin,4,9,5,55.56%
150,Julien Leclercq,4,9,5,55.56%
151,Wu Yize,5,10,5,50%
152,Florian Nüßle,6,16,5,31.25%
153,Brian Ochoiski,9,18,5,27.78%
154,Hamim Hussain,7,18,5,27.78%
155,Ross Bulman,3,7,4,57.14%
156,Jenson Kendrick,3,7,4,57.14%
157,Yu Kiu Chang,3,7,4,57.14%
158,Raymond Fry,3,7,4,57.14%
159,Simon Bedford,3,7,4,57.14%
160,Dylan Mitchell,3,7,4,57.14%
161,Luke Simmonds,3,7,4,57.14%
162,Joshua Cooper,3,7,4,57.14%
163,Maris Volajs,3,7,4,57.14%
164,Patrick Whelan,3,7,4,57.14%
165,Rodion Judin,3,7,4,57.14%
166,Aaron Busuttil,3,7,4,57.14%
167,Alex Millington,3,7,4,57.14%
168,Callum Beresford,3,7,4,57.14%
169,Sean Harvey,4,8,4,50%
170,Liam Graham,4,8,4,50%
171,Connor Benzey,5,9,4,44.44%
172,Joshua Thomond,5,10,4,40%
173,Michael Collumb,4,10,4,40%
174,Ryan Davies,4,10,4,40%
175,Zhang Jiankang,5,10,4,40%
176,Saqib Nasir,5,11,4,36.36%
177,Luke Pinches,5,11,4,36.36%
178,Ben Fortey,6,12,4,33.33%
179,Aaron Hill,11,16,4,25%
180,Zak Surety,12,20,4,20%
181,Farakh Ajaib,12,22,4,18.18%
182,Declan Lavery,1,4,3,75%
183,Paul Deaville,1,4,3,75%
184,Sean McAllister,3,6,3,50%
185,Josh Mulholland,3,6,3,50%
186,Lee Stephens,3,6,3,50%
187,Gary Thomson,3,6,3,50%
188,Sean O'Sullivan,3,6,3,50%
189,Joe Fenton,3,6,3,50%
190,Callum Lloyd,3,6,3,50%
191,Umut Dikme,3,6,3,50%
192,Daan Leyssen Janssen,3,6,3,50%
193,Gary Challis,3,6,3,50%
194,Adam Goff,3,6,3,50%
195,Yao Pengcheng,3,6,3,50%
196,Tyler Rees,3,6,3,50%
197,Sam Baird,3,6,3,50%
198,Ryan Thomerson,3,6,3,50%
199,George Pragnell (II),3,6,3,50%
200,Fergal Quinn (II),5,8,3,37.5%
201,Ben Mertens,5,8,3,37.5%
202,Stephen Hendry,6,9,3,33.33%
203,Andrew Pagett,6,10,3,30%
204,Iulian Boiko,12,22,3,13.64%
205,Amir Sarkhosh,2,4,2,50%
206,Mateusz Baranowski,2,4,2,50%
207,Ronnie Blake,3,5,2,40%
208,Jack Haley,3,5,2,40%
209,Jed Mann,3,5,2,40%
210,Matthew Roberts,3,5,2,40%
211,Martyn Taylor,3,5,2,40%
212,Danny Brindle,3,5,2,40%
213,Samuel-Lee Stevens,3,5,2,40%
214,Stuart Watson,3,5,2,40%
215,Kishan Hirani,3,5,2,40%
216,Michael Tomlinson,3,5,2,40%
217,Andrew Milliard,3,5,2,40%
218,Jack Bradford,3,5,2,40%
219,Adam Brown,3,5,2,40%
220,Daniel Kandi,3,5,2,40%
221,Jordan Rimmer,3,5,2,40%
222,Chen Feilong,3,5,2,40%
223,Alfie Lee,3,5,2,40%
224,Evan Munro,3,5,2,40%
225,Liam Davies,3,5,2,40%
226,Adam Duffy,3,5,2,40%
227,Matthew Glasby,3,5,2,40%
228,Andrew Tapper,3,5,2,40%
229,Keishin Kamihashi,3,5,2,40%
230,Patrick Wallace,3,5,2,40%
231,Paul Davies,4,6,2,33.33%
232,Adrian Rosa,4,6,2,33.33%
233,Ivan Kakovskii,4,6,2,33.33%
234,Rebecca Kenna,5,7,2,28.57%
235,Hayden Staniland,5,7,2,28.57%
236,Zhang Anda,5,7,2,28.57%
237,Kurt Maflin,6,13,2,15.38%
238,Neal Jones,3,4,1,25%
239,Aidan Murphy,3,4,1,25%
240,Luke Maddison,3,4,1,25%
241,James Burrett,3,4,1,25%
242,John Welsh,3,4,1,25%
243,Chris Totten,3,4,1,25%
244,James Silverwood,3,4,1,25%
245,Bradley Cowdroy,3,4,1,25%
246,Labeeb Ahmed,3,4,1,25%
247,Manasawin Phetmalaikul,3,4,1,25%
248,Brandon Hall,3,4,1,25%
249,Elliott Weston,3,4,1,25%
250,Halim Hussain,3,4,1,25%
251,Mark Ganderton,3,4,1,25%
252,Stan Moody,3,4,1,25%
253,Jamie Brown,3,4,1,25%
254,Scott Bell,3,4,1,25%
255,Thomas McSorley,3,4,1,25%
256,Filips Kalniņš,3,4,1,25%
257,Hans Blanckaert,3,4,1,25%
258,Faizaan Mohammed,3,4,1,25%
259,Stephen Baillie,3,4,1,25%
260,Richard Wienold,3,4,1,25%
261,Jack Smithers,3,4,1,25%
262,John Parkin,3,4,1,25%
263,Arun Mehta,3,4,1,25%
264,Anton Kazakov,3,4,1,25%
265,Jack Culligan,3,4,1,25%
266,Robert Read,3,4,1,25%
267,Jamie Jones (II),3,4,1,25%
268,Phil O'Kane,4,5,1,20%
269,Alex Clenshaw,5,11,1,9.09%
270,Amine Amiri,1,1,0,0%
271,Shafaqut Hussain,1,1,0,0%
272,Christopher Clifford,1,1,0,0%
273,Robert McCullough,1,1,0,0%
274,Oliver Sykes,1,1,0,0%
275,Amaan Iqbal,1,1,0,0%
276,Alex Borg,2,2,0,0%
277,Peter Butler,2,2,0,0%
278,Imran Puri,2,2,0,0%
279,Mark Bell,2,2,0,0%
280,Shaf Hussain,2,2,0,0%
281,Antoni Kowalski,2,2,0,0%
282,William Ginn,3,3,0,0%
283,Sergey Isaenko,3,3,0,0%
284,Peter Geronimo,3,3,0,0%
285,James Height,3,3,0,0%
286,Aaron Graham,3,3,0,0%
287,Roshan Birdi,3,3,0,0%
288,Lewis Ullah,3,3,0,0%
289,Westley Cooper,3,3,0,0%
290,Carl Mottershaw,3,3,0,0%
291,Mark Vincent,3,3,0,0%
292,Jamie Tudor,3,3,0,0%
293,Dylan Smith,3,3,0,0%
294,Matthew Lee,3,3,0,0%
295,Garry Coulson,3,3,0,0%
296,Conor Caniff,3,3,0,0%
297,Tony Corrigan,3,3,0,0%
298,Dean Reynolds,3,3,0,0%
299,Johnnie Bates,3,3,0,0%
300,Philip O'Connor,3,3,0,0%
301,Juan Pedro Duran,3,3,0,0%
302,Mark Anthony Taylor,3,3,0,0%
303,Denys Khmelevskyi,3,3,0,0%
304,Bradley Tyson,3,3,0,0%
305,Keith Keldie,3,3,0,0%
306,John Pritchett,3,3,0,0%
307,Ryan Roberts,3,3,0,0%
308,Daniel Walker,3,3,0,0%
309,Ng On Yee,3,3,0,0%
310,Reanne Evans,8,10,0,0%
311,Jamie Barrett,8,14,0,0%
312,Sean Maddocks,12,20,0,0%
