,Name,Tournaments Played,Matches Played,Matches Won,Match-win percentage
0,Judd Trump,16,89,66,74.16%
1,Mark Williams,15,97,63,64.95%
2,John Higgins,16,83,62,74.7%
3,Kyren Wilson,17,106,62,58.49%
4,Ali Carter,13,75,52,69.33%
5,Mark Selby,17,82,52,63.41%
6,David Gilbert,16,73,49,67.12%
7,Stuart Bingham,17,77,48,62.34%
8,Ronnie O'Sullivan,14,62,43,69.35%
9,Barry Hawkins,16,67,40,59.7%
10,Luca Brecel,13,54,37,68.52%
11,Jack Lisowski,15,64,36,56.25%
12,Shaun Murphy,14,53,35,66.04%
13,Yan Bingtao,14,47,33,70.21%
14,Ricky Walden,13,51,33,64.71%
15,Mark Allen,13,44,31,70.45%
16,Zhou Yuelong,11,53,31,58.49%
17,Tom Ford,14,58,31,53.45%
18,Ryan Day,14,50,30,60%
19,Xiao Guodong,11,47,29,61.7%
20,Anthony McGill,13,51,29,56.86%
21,Matthew Selt,14,55,29,52.73%
22,Joe Perry,14,59,29,49.15%
23,Sam Craigie,12,45,28,62.22%
24,Jimmy Robertson,13,42,25,59.52%
25,Zhao Xintong,13,47,25,53.19%
26,Martin O'Donnell,12,41,24,58.54%
27,Stuart Carrington,12,42,24,57.14%
28,Duane Jones,15,43,23,53.49%
29,Graeme Dott,10,48,23,47.92%
30,Gary Wilson,15,49,23,46.94%
31,Mark Davis,11,39,22,56.41%
32,Ben Woollaston,13,39,22,56.41%
33,Jordan Brown,15,40,22,55%
34,Mitchell Mann,15,41,22,53.66%
35,Stephen Maguire,12,35,21,60%
36,Neil Robertson,12,34,20,58.82%
37,Peifan Lei,13,35,20,57.14%
38,Akani Songsermsawad,12,36,20,55.56%
39,Liam Highfield,12,33,19,57.58%
40,Noppon Saengkham,12,34,19,55.88%
41,Oliver Lines,12,39,19,48.72%
42,Scott Donaldson,13,43,19,44.19%
43,Pang Junxu,11,31,18,58.06%
44,Anthony Hamilton,11,33,18,54.55%
45,Mark King,12,34,18,52.94%
46,Robert Milkins,12,36,18,50%
47,Hossein Vafaei,13,37,18,48.65%
48,Louis Heathcote,12,37,18,48.65%
49,James Cahill,14,38,18,47.37%
50,Martin Gould,14,39,18,46.15%
51,Chris Wakelin,12,33,17,51.52%
52,Jak Jones,12,33,17,51.52%
53,Ian Burns,15,34,17,50%
54,Alexander Ursenbacher,12,34,17,50%
55,Lu Ning,11,35,17,48.57%
56,David Lilley,16,38,17,44.74%
57,Fergal O'Brien,11,39,17,43.59%
58,Jamie Jones,12,30,16,53.33%
59,Lyu Haotian,11,32,16,50%
60,Michael White,15,34,16,47.06%
61,Soheil Vahedi,15,34,16,47.06%
62,Ross Muir,9,25,15,60%
63,Hammad Miah,9,26,15,57.69%
64,Robbie Williams,12,30,15,50%
65,Jackson Page,13,30,15,50%
66,Elliot Slessor,12,31,15,48.39%
67,Joe O'Connor,12,32,15,46.88%
68,Si Jiahui,14,33,15,45.45%
69,Peter Lines,13,34,15,44.12%
70,Dominic Dale,12,34,15,44.12%
71,Yuan Sijun,12,27,14,51.85%
72,Jamie Clarke,12,29,14,48.28%
73,Li Hang,11,31,14,45.16%
74,Thepchaiya Un-Nooh,14,36,14,38.89%
75,Craig Steadman,9,24,13,54.17%
76,Leo Fernandez,9,25,13,52%
77,Luo Honghao,9,27,13,48.15%
78,Liang Wenbo,11,27,13,48.15%
79,Bai Langning,10,28,13,46.43%
80,Mark Joyce,11,31,13,41.94%
81,Ben Hancorn,12,33,13,39.39%
82,Michael Georgiou,9,22,12,54.55%
83,Steven Hallworth,12,27,12,44.44%
84,Chang Bingyu,11,27,12,44.44%
85,Allan Taylor,12,27,12,44.44%
86,Matthew Stevens,12,28,12,42.86%
87,John Astley,11,28,12,42.86%
88,Dylan Emery,11,28,12,42.86%
89,Andy Hicks,13,29,12,41.38%
90,Gerard Greene,12,30,12,40%
91,Cao Yupeng,7,20,11,55%
92,Xu Si,10,23,11,47.83%
93,Tian Pengfei,10,24,11,45.83%
94,Simon Lichtenberg,12,25,11,44%
95,Rod Lawler,9,25,11,44%
96,Andrew Higginson,12,26,11,42.31%
97,Fraser Patrick,12,30,11,36.67%
98,Jamie O'Neill,10,21,10,47.62%
