,Name,Tournaments Played,Matches Played,Matches Won,Match-win percentage
0,Mark Selby,9,45,33,73.33%
1,Judd Trump,8,44,32,72.73%
2,Kyren Wilson,9,39,28,71.79%
3,Joe O'Connor,5,45,27,60%
4,Jak Jones,6,53,25,47.17%
5,John Higgins,8,26,20,76.92%
6,Xiao Guodong,7,29,18,62.07%
7,Hossein Vafaei,5,27,17,62.96%
8,Ali Carter,7,30,16,53.33%
9,Shaun Murphy,8,22,15,68.18%
10,Pang Junxu,6,27,15,55.56%
11,Neil Robertson,8,24,14,58.33%
12,Matthew Selt,6,29,14,48.28%
13,Chris Wakelin,7,30,13,43.33%
14,Ricky Walden,5,15,12,80%
15,Ryan Day,5,23,12,52.17%
16,Barry Hawkins,8,19,11,57.89%
17,Stuart Bingham,7,23,11,47.83%
18,David Gilbert,6,23,11,47.83%
19,Si Jiahui,9,25,11,44%
20,Alexander Ursenbacher,4,13,10,76.92%
21,Tom Ford,6,24,10,41.67%
22,Zhao Xintong,1,9,9,100%
23,Zak Surety,4,13,9,69.23%
24,Luca Brecel,5,13,9,69.23%
25,Yuan Sijun,5,14,9,64.29%
26,David Grace,6,14,9,64.29%
27,Ian Burns,6,14,9,64.29%
28,Wu Yize,7,16,9,56.25%
29,Jimmy Robertson,6,19,9,47.37%
30,Zhao Hanyang,2,9,8,88.89%
31,Ashley Hugill,2,10,8,80%
32,Aaron Hill,4,12,8,66.67%
33,Thor Chuan Leong,6,14,8,57.14%
34,Stuart Carrington,6,14,8,57.14%
35,Hammad Miah,6,14,8,57.14%
36,Zhou Yuelong,5,15,8,53.33%
37,Elliot Slessor,6,17,8,47.06%
38,Robert Milkins,5,19,8,42.11%
39,Mateusz Baranowski,2,8,7,87.5%
40,Connor Benzey,2,8,7,87.5%
41,Liu Linhao,2,9,7,77.78%
42,Mark Lloyd,2,9,7,77.78%
43,Umut Dikme,2,9,7,77.78%
44,Daniel Wells,4,11,7,63.64%
45,Ben Woollaston,5,12,7,58.33%
46,Alfie Burden,6,13,7,53.85%
47,Dean Young,6,13,7,53.85%
48,Ding Junhui,6,13,7,53.85%
49,Jack Lisowski,6,16,7,43.75%
50,Jackson Page,6,17,7,41.18%
51,Noppon Saengkham,5,19,7,36.84%
52,Liu Wenwei,1,6,6,100%
53,Chatchapong Nasa,1,6,6,100%
54,Oliver Brown,1,6,6,100%
55,Xu Yichen,2,7,6,85.71%
56,Yisong Peng,2,8,6,75%
57,Luo Zetao,2,8,6,75%
58,Ryan Davies,2,8,6,75%
59,Patrick Whelan,2,8,6,75%
60,Stan Moody,4,10,6,60%
61,Liam Pullen,5,10,6,60%
62,Ross Muir,4,10,6,60%
63,Michael Holt,4,10,6,60%
64,Matthew Stevens,4,10,6,60%
65,Jamie Jones,4,10,6,60%
66,Andrew Pagett,4,10,6,60%
67,Xu Si,5,11,6,54.55%
68,Ashley Carty,6,12,6,50%
69,Xing Zihao,6,12,6,50%
70,Ma Hailong,6,12,6,50%
71,Andrew Higginson,6,12,6,50%
72,Mark Allen,7,13,6,46.15%
73,Mark Williams,8,14,6,42.86%
74,Fergal Quinn (II),3,7,5,71.43%
75,Thanawat Thirapongpaiboon,2,7,5,71.43%
76,Jack Borwick,2,7,5,71.43%
77,John Astley,2,7,5,71.43%
78,Rodion Judin,2,7,5,71.43%
79,Billy Joe Castle,2,7,5,71.43%
80,Akani Songsermsawad,3,8,5,62.5%
81,Anthony McGill,4,9,5,55.56%
82,Allan Taylor,4,9,5,55.56%
83,Antoni Kowalski,4,9,5,55.56%
84,Ishpreet Singh Chadha,4,9,5,55.56%
85,Dylan Emery,4,9,5,55.56%
86,Wang Yuchen,4,9,5,55.56%
87,David Lilley,4,9,5,55.56%
88,Stephen Maguire,4,9,5,55.56%
89,Simon Blackwell,6,11,5,45.45%
90,Peifan Lei,6,11,5,45.45%
91,Chen Qien,2,6,4,66.67%
92,Pankaj Advani,2,6,4,66.67%
93,Narongdat Takantong,2,6,4,66.67%
94,Deng Jinhong,2,6,4,66.67%
95,Chhay Suon,2,6,4,66.67%
96,Nattanapong Chaikul,2,6,4,66.67%
97,Babar Masih,2,6,4,66.67%
98,Jason Tart,2,6,4,66.67%
99,Alex Millington,2,6,4,66.67%
100,Alfie Davies,2,6,4,66.67%
101,Barry Pinches,2,6,4,66.67%
102,Craig Steadman,2,6,4,66.67%
103,Alex Clenshaw,2,6,4,66.67%
104,Halim Hussain,2,6,4,66.67%
105,George Pragnell (II),2,6,4,66.67%
106,Gary Thomson,2,6,4,66.67%
107,He Guoqiang,4,7,4,57.14%
108,Gong Chenzhi,4,8,4,50%
109,Duane Jones,4,8,4,50%
110,Liu Hongyu,4,8,4,50%
111,Fan Zhengyi,4,8,4,50%
112,Robbie Williams,4,8,4,50%
113,Liam Davies,4,8,4,50%
114,Liam Graham,4,8,4,50%
115,Sanderson Lam,4,8,4,50%
116,Mark Davis,4,8,4,50%
117,Zhou Jinhao,4,8,4,50%
118,Daniel Womersley,5,9,4,44.44%
119,Ronnie O'Sullivan,2,9,4,44.44%
120,Manasawin Phetmalaikul,6,10,4,40%
121,Anthony Hamilton,6,10,4,40%
122,Joshua Thomond,6,10,4,40%
123,Paul Deaville,6,10,4,40%
124,Gao Yang,1,4,3,75%
125,Ritthichai Chimphanang,2,5,3,60%
126,Soheil Vahedi,2,5,3,60%
127,Liu Yang,2,5,3,60%
128,Mohsin Amin,2,5,3,60%
129,Yao Dongcheng,2,5,3,60%
130,Digvijay Kadian,2,5,3,60%
131,Siyavosh Mozayani,2,5,3,60%
132,Wan Nansen Sin Man,2,5,3,60%
133,Lomnaw Issarangkun,2,5,3,60%
134,Nicolas Mortreux,2,5,3,60%
135,Daniel Boyes,2,5,3,60%
136,Ian Martin,2,5,3,60%
137,Filips Kalniņš,2,5,3,60%
138,Zack Richardson,2,5,3,60%
139,Peter Devlin,2,5,3,60%
140,Peter Lines,2,5,3,60%
141,Kayden Brierley,2,5,3,60%
142,Brandon Hall,2,5,3,60%
143,James Cahill,2,5,3,60%
144,Jack Bradford,2,5,3,60%
145,Keith Keldie,2,5,3,60%
146,Phil O'Kane,2,5,3,60%
147,Graeme Dott,3,6,3,50%
148,Ken Doherty,4,7,3,42.86%
149,Mitchell Mann,4,7,3,42.86%
150,Jiang Jun,4,7,3,42.86%
151,Haydon Pinhey,4,7,3,42.86%
152,Artemijs Zizins,4,7,3,42.86%
153,Marco Fu,4,7,3,42.86%
154,Jordan Brown,4,7,3,42.86%
155,Ben Mertens,4,7,3,42.86%
156,Iulian Boiko,4,7,3,42.86%
157,Louis Heathcote,4,7,3,42.86%
158,Thepchaiya Un-Nooh,4,7,3,42.86%
159,Anton Kazakov,5,8,3,37.5%
160,Joshua Cooper,5,8,3,37.5%
161,Zhang Anda,6,9,3,33.33%
162,Gary Wilson,7,14,3,21.43%
163,Florian Nüßle,2,4,2,50%
164,Muhammad Azhar Khan,2,4,2,50%
165,Ali Gharahgozlou,2,4,2,50%
166,Chen Ruifu,2,4,2,50%
167,Shrikrishna Suryanarayanan,2,4,2,50%
168,Hon Man Chau,2,4,2,50%
