,Name,Tournaments Played,Matches Played,Matches Won,Match-win percentage
0,Kyren Wilson,19,111,74,66.67%
1,Judd Trump,19,78,64,82.05%
2,John Higgins,21,86,55,63.95%
3,Neil Robertson,18,76,49,64.47%
4,Mark Selby,23,77,49,63.64%
5,Mark Allen,22,66,47,71.21%
6,Chris Wakelin,18,72,41,56.94%
7,Barry Hawkins,19,62,39,62.9%
8,Si Jiahui,16,56,38,67.86%
9,Elliot Slessor,16,60,37,61.67%
10,Ali Carter,23,65,37,56.92%
11,Xiao Guodong,17,58,36,62.07%
12,Ronnie O'Sullivan,17,51,35,68.63%
13,Wu Yize,16,53,35,66.04%
14,Shaun Murphy,21,55,34,61.82%
15,Jak Jones,18,56,34,60.71%
16,David Gilbert,16,56,33,58.93%
17,Gary Wilson,21,65,33,50.77%
18,Stuart Bingham,16,55,32,58.18%
19,Mark Williams,19,52,31,59.62%
20,Pang Junxu,18,55,31,56.36%
21,Ryan Day,16,54,29,53.7%
22,Ding Junhui,19,45,27,60%
23,Jack Lisowski,17,47,27,57.45%
24,Fan Zhengyi,16,51,27,52.94%
25,Joe O'Connor,16,55,27,49.09%
26,Hossein Vafaei,17,42,26,61.9%
27,Zhang Anda,20,45,25,55.56%
28,Ricky Walden,16,53,25,47.17%
29,Long Zehuang,15,41,23,56.1%
30,Jackson Page,15,43,23,53.49%
31,Martin O'Donnell,15,43,23,53.49%
32,Peifan Lei,11,33,22,66.67%
33,Tom Ford,20,45,22,48.89%
34,He Guoqiang,15,38,21,55.26%
35,Xu Si,15,38,21,55.26%
36,Jimmy Robertson,16,40,20,50%
37,Matthew Selt,17,42,20,47.62%
38,Stephen Maguire,15,35,19,54.29%
39,Stan Moody,15,35,19,54.29%
40,Yuan Sijun,16,36,19,52.78%
41,Luca Brecel,17,36,19,52.78%
42,David Lilley,15,37,19,51.35%
43,Noppon Saengkham,17,40,19,47.5%
44,Antoni Kowalski,13,32,18,56.25%
45,Robbie Williams,15,34,18,52.94%
46,Ben Woollaston,15,35,18,51.43%
47,Thepchaiya Un-Nooh,16,36,18,50%
48,Zak Surety,15,32,17,53.13%
49,Lyu Haotian,16,33,17,51.52%
50,Louis Heathcote,15,33,17,51.52%
51,Ishpreet Singh Chadha,15,33,17,51.52%
52,Chris Totten,13,29,16,55.17%
53,Allan Taylor,16,32,16,50%
54,Oliver Lines,15,33,16,48.48%
55,Dylan Emery,17,35,16,45.71%
56,Graeme Dott,15,31,15,48.39%
57,Matthew Stevens,15,33,15,45.45%
58,Ma Hailong,15,34,15,44.12%
59,Zhou Yuelong,18,35,15,42.86%
60,Robert Milkins,17,38,15,39.47%
61,Wang Yuchen,11,24,14,58.33%
62,Artemijs Zizins,12,26,14,53.85%
63,Dominic Dale,14,29,14,48.28%
64,Scott Donaldson,13,29,14,48.28%
65,Mark Davis,15,29,14,48.28%
66,Daniel Wells,15,30,14,46.67%
67,Aaron Hill,15,30,14,46.67%
68,Ashley Carty,15,31,14,45.16%
69,Marco Fu,11,26,13,50%
70,Anthony McGill,13,26,13,50%
71,Farakh Ajaib,13,26,13,50%
72,Jiang Jun,15,30,13,43.33%
73,Iulian Boiko,17,31,13,41.94%
74,Akani Songsermsawad,7,18,12,66.67%
75,Haris Tahir,12,23,12,52.17%
76,Michael Holt,12,25,12,48%
77,Mark Joyce,13,26,12,46.15%
78,Gong Chenzhi,13,26,12,46.15%
79,Liam Davies,13,26,12,46.15%
80,Andrew Higginson,15,27,12,44.44%
81,Duane Jones,13,27,12,44.44%
82,Simon Blackwell,13,27,12,44.44%
83,Jamie Clarke,15,28,12,42.86%
84,Haydon Pinhey,16,28,12,42.86%
85,Tian Pengfei,15,28,12,42.86%
86,Liu Hongyu,15,29,12,41.38%
87,Jordan Brown,17,33,12,36.36%
88,Paul Deaville,10,23,11,47.83%
89,Bulcsú Révész,12,25,11,44%
90,Kreishh Gurbaxani,13,25,11,44%
91,Xing Zihao,15,26,11,42.31%
92,Ben Mertens,15,27,11,40.74%
93,Thor Chuan Leong,15,28,11,39.29%
94,Alexander Ursenbacher,15,28,11,39.29%
95,Julien Leclercq,15,28,11,39.29%
96,Florian Nüßle,6,18,10,55.56%
97,Sam Craigie,5,22,10,45.45%
98,Stuart Carrington,12,25,10,40%
99,Alfie Burden,15,25,10,40%
100,Liam Graham,15,27,10,37.04%
101,Andrew Pagett,15,27,10,37.04%
102,Jamie Jones,15,29,10,34.48%
103,Joe Perry,16,31,10,32.26%
104,Daniel Womersley,11,21,9,42.86%
105,Jimmy White,14,23,9,39.13%
106,David Grace,14,24,9,37.5%
107,Anthony Hamilton,15,24,9,37.5%
108,Sanderson Lam,15,24,9,37.5%
109,Ian Burns,15,25,9,36%
110,Liam Pullen,15,26,9,34.62%
111,Ehsan Heydarinezhad,2,10,8,80%
112,Lan Yuhao,3,11,8,72.73%
113,Mitchell Mann,13,21,8,38.1%
114,Ross Muir,15,24,8,33.33%
115,Lim Kok Leong,3,8,7,87.5%
116,Ali Gharahgozlou,2,9,7,77.78%
117,Lewis Ullah,5,12,7,58.33%
118,Jenson Kendrick,6,13,7,53.85%
119,Alfie Davies,5,13,7,53.85%
120,Amir Sarkhosh,11,18,7,38.89%
121,Cheung Ka Wai,12,20,7,35%
122,Joshua Thomond,12,20,7,35%
123,Dean Young,14,23,7,30.43%
124,Liang Xiaolong,2,8,6,75%
125,Luo Honghao,2,8,6,75%
126,Amin Sanjaei,2,8,6,75%
127,Fung Kwok Wai,2,8,6,75%
128,Gao Yang,3,9,6,66.67%
129,Connor Benzey,3,9,6,66.67%
130,Cao Yupeng,5,11,6,54.55%
131,Barry Pinches,6,12,6,50%
132,Gerard Greene,4,12,6,50%
133,Huang Jiahao,11,19,6,31.58%
134,Anton Kazakov,13,21,6,28.57%
135,Daegyu Lee,2,7,5,71.43%
136,Alex Clenshaw,2,7,5,71.43%
137,Putthakam Kimsuk,2,7,5,71.43%
138,Chen Qiyu,2,7,5,71.43%
139,Luo Zetao,2,7,5,71.43%
140,Muhammad Naseem Akhtar,2,7,5,71.43%
141,Liu Yang,2,7,5,71.43%
142,Peter Lines,4,9,5,55.56%
143,Josh Mulholland,3,9,5,55.56%
144,Steven Hallworth,4,9,5,55.56%
145,Ryan Davies,4,9,5,55.56%
146,Vladislav Gradinari,5,10,5,50%
147,Oliver Brown,6,11,5,45.45%
148,Kayden Brierley,4,11,5,45.45%
149,Sean O'Sullivan,7,12,5,41.67%
150,Joshua Cooper,8,15,5,33.33%
151,Robbie Mcguigan,11,18,5,27.78%
152,Mostafa Dorgham,15,22,5,22.73%
153,Zhao Xintong,1,5,4,80%
154,George Pragnell (II),3,6,4,66.67%
155,Zhang Zhijie,2,6,4,66.67%
156,Dhruv Patel,2,6,4,66.67%
157,Wan Nansen Sin Man,2,6,4,66.67%
158,Adam Duffy,4,7,4,57.14%
159,Craig Steadman,3,7,4,57.14%
160,Riley Powell,4,8,4,50%
161,Oliver Sykes,5,9,4,44.44%
162,Umut Dikme,3,9,4,44.44%
163,Zack Richardson,3,9,4,44.44%
164,James Cahill,6,10,4,40%
165,Yisong Peng,6,10,4,40%
166,Zhou Jinhao,6,10,4,40%
167,Andres Petrov,7,11,4,36.36%
168,Michael White,5,12,4,33.33%
169,Yulu Bai,12,16,4,25%
170,Hammad Miah,15,21,4,19.05%
171,Jeff Cundy,2,5,3,60%
172,Matt Williams,2,5,3,60%
173,Sean Maddocks,2,5,3,60%
174,Mark Vincent,2,5,3,60%
175,Gary Filtness,2,5,3,60%
176,Farhan Noor,2,5,3,60%
177,Asutosh Padhy,2,5,3,60%
178,Rana Irfan Aslam,2,5,3,60%
179,Shrikrishna Suryanarayanan,2,5,3,60%
180,Laxman Rawat,2,5,3,60%
181,Muhammad Siddiqui (II),2,5,3,60%
182,Ritthichai Chimphanang,2,5,3,60%
183,Muhammad Umar Khan,2,5,3,60%
184,Deng Haohui,2,5,3,60%
185,Hamim Hussain,3,7,3,42.86%
186,Andy Hicks,6,9,3,33.33%
187,Ashley Hugill,6,9,3,33.33%
188,Rory McLeod,4,9,3,33.33%
189,Gary Milne,2,4,2,50%
190,Lee Stephens,2,4,2,50%
191,Yu Kiu Chang,2,4,2,50%
192,Danny Brindle,2,4,2,50%
193,Stuart Watson,2,4,2,50%
194,Adrian Rosa,2,4,2,50%
195,Bradley Cowdroy,2,4,2,50%
196,Ng On Yee,2,4,2,50%
197,Mark Lloyd,2,4,2,50%
198,Jed Mann,2,4,2,50%
199,Andy Lavin,2,4,2,50%
200,James Lee,2,4,2,50%
201,Lee Shanker,2,4,2,50%
202,Shaun Liu,2,4,2,50%
203,Peter Devlin,2,4,2,50%
204,Aaron Busuttil,2,4,2,50%
205,Keith Keldie,2,4,2,50%
206,Simon Bedford,2,4,2,50%
207,Alex Taubman,2,4,2,50%
208,Hayden Staniland,2,4,2,50%
209,Jamie Barrett,2,4,2,50%
210,Jack Bradford,2,4,2,50%
211,Brandon Hall,2,4,2,50%
212,Manuel Ederer,2,4,2,50%
213,Halim Hussain,2,4,2,50%
214,Jaden Ong Jia Jun,2,4,2,50%
215,Muhammad Ahsan Javaid,2,4,2,50%
216,Feng Yu,2,4,2,50%
217,Zhang Yang,2,4,2,50%
218,Morteza Torabi (II),2,4,2,50%
219,Chau Hon Man,2,4,2,50%
220,Liu Wenwei,2,4,2,50%
221,Narinton Tasurin,2,4,2,50%
222,Nattanapong Chaikul,2,4,2,50%
223,Subrat Das,2,4,2,50%
224,Prin Ratmukda,2,4,2,50%
225,Hamza Akbar,2,4,2,50%
226,Li Chengjie,2,4,2,50%
227,Lukas Kleckers,4,6,2,33.33%
228,Joel Connolly Jnr,4,6,2,33.33%
229,Wang Xinbo,5,7,2,28.57%
230,Jamie O'Neill,3,7,2,28.57%
231,Fergal Quinn (II),3,7,2,28.57%
232,Liam Highfield,6,8,2,25%
233,Harvey Chandler,4,8,2,25%
234,Ryan Thomerson,7,9,2,22.22%
235,Mohammed Shehab,7,9,2,22.22%
236,Mink Nutcharut,15,19,2,10.53%
237,Manasawin Phetmalaikul,15,19,2,10.53%
238,Martin Gould,1,1,1,100%
239,Deng Jinhong,1,2,1,50%
240,Mohamed Elkhayat,1,2,1,50%
241,Velian Dimitrov,2,3,1,33.33%
242,Ian Martin,2,3,1,33.33%
243,Adam Abbas,2,3,1,33.33%
244,James Burrett,2,3,1,33.33%
245,Darren Burns,2,3,1,33.33%
246,John Fearick,2,3,1,33.33%
247,Evan Plummer (II),2,3,1,33.33%
248,Callum Beresford,2,3,1,33.33%
249,Aman Goel,2,3,1,33.33%
250,Luke Simmonds,2,3,1,33.33%
251,Chae Ross,2,3,1,33.33%
252,Martin Shepherdson,2,3,1,33.33%
253,Mark Bell,2,3,1,33.33%
254,Matthew Glasby,2,3,1,33.33%
255,Edward Jones,2,3,1,33.33%
256,Brandon Sargeant,2,3,1,33.33%
257,James Silverwood,2,3,1,33.33%
258,Jay Bullen,2,3,1,33.33%
259,Aidan Gallagher,2,3,1,33.33%
260,Labeeb Ahmed,2,3,1,33.33%
261,Matthew Roberts,2,3,1,33.33%
262,Aristos Pampouris,2,3,1,33.33%
263,Tony Knowles,2,3,1,33.33%
264,Patrick Whelan,2,3,1,33.33%
265,Sean McAllister,2,3,1,33.33%
266,Andy Marriott,2,3,1,33.33%
267,Daan Leyssen Janssen,2,3,1,33.33%
268,Neal Jones,2,3,1,33.33%
269,Martyn Taylor,2,3,1,33.33%
270,Mateusz Baranowski,2,3,1,33.33%
271,Luke Pinches,2,3,1,33.33%
272,Andrew Milliard,2,3,1,33.33%
273,Anthony Wall,2,3,1,33.33%
274,Stephen Kershaw,2,3,1,33.33%
275,Brian Ochoiski,2,3,1,33.33%
276,Phil O'Kane,2,3,1,33.33%
277,Pawaris Ngamkham,2,3,1,33.33%
278,Vinay Swaminathan,2,3,1,33.33%
279,Babar Masih,2,3,1,33.33%
280,Mohammad Reza Pishvari,2,3,1,33.33%
281,Thitiphong Choolasak,2,3,1,33.33%
282,Digvijay Kadian,2,3,1,33.33%
283,Hrithik Jain,2,3,1,33.33%
284,Abhishek Bajaj,2,3,1,33.33%
285,Ren Jiaxing,2,3,1,33.33%
286,Jongrak Boonrod,2,3,1,33.33%
287,Wong Kwan Chun Wallace,2,3,1,33.33%
288,Qadeer Abbas,2,3,1,33.33%
289,Narongdat Takantong,2,3,1,33.33%
290,Passakorn Sittikrai,2,3,1,33.33%
291,Umer-Naeem Memon,2,3,1,33.33%
292,Chatchapong Nasa,2,3,1,33.33%
293,Cao Jin,2,3,1,33.33%
294,John Astley,3,4,1,25%
295,Jack Borwick,3,4,1,25%
296,Steven Wardropper,3,4,1,25%
297,Hatem Yassen,3,4,1,25%
298,Rod Lawler,4,5,1,20%
299,Ali Al Obaidly,4,5,1,20%
300,Jonas Luz,5,6,1,16.67%
301,Himanshu Jain,6,7,1,14.29%
302,Ken Doherty,9,10,1,10%
303,Mohammed Asif,1,1,0,0%
304,Wang Xinzhong,1,1,0,0%
305,Stephen Hendry,1,1,0,0%
306,Hamza Ilyas,1,1,0,0%
307,Gary Skipworth,1,1,0,0%
308,Matthew Day,1,1,0,0%
309,Imran Puri,1,1,0,0%
310,Mubashir Raza,1,1,0,0%
311,Qiu Lei,1,1,0,0%
312,Ma Shaojun,1,1,0,0%
313,Huang Hao,1,1,0,0%
314,Faisal Bahashwan,1,1,0,0%
315,Ahmed Abul,1,1,0,0%
316,Adeel Aqdus,1,1,0,0%
317,Abdullah Alotayyani,1,1,0,0%
318,Ali Hussain Ali,1,1,0,0%
319,Haitham Al Mahri,1,1,0,0%
320,Ziyad Al Qabbani,1,1,0,0%
321,Khalid Kamali,1,1,0,0%
322,Ayman Alamri,1,1,0,0%
323,Saleh Alamoudi,1,1,0,0%
324,Ali Jalil Ali,1,1,0,0%
325,Kusai Hamed Sharif,1,1,0,0%
326,Jamie Gardiner,1,1,0,0%
327,Zheng Dian,1,1,0,0%
328,Ayaan Iqbal,1,1,0,0%
329,Joe Shannon,1,1,0,0%
