,Name,Tournaments Played,Matches Played,Matches Won,Match-win percentage
0,Kyren Wilson,17,82,53,64.63%
1,Judd Trump,19,72,50,69.44%
2,Mark Allen,18,62,45,72.58%
3,Mark Selby,16,60,41,68.33%
4,Ali Carter,15,67,40,59.7%
5,Neil Robertson,14,50,39,78%
6,John Higgins,18,59,39,66.1%
7,Ryan Day,16,65,38,58.46%
8,Yan Bingtao,14,54,37,68.52%
9,Ronnie O'Sullivan,17,55,37,67.27%
10,Mark Williams,16,53,36,67.92%
11,Zhao Xintong,19,57,36,63.16%
12,Ding Junhui,11,51,34,66.67%
13,Jack Lisowski,16,58,34,58.62%
14,Graeme Dott,14,54,32,59.26%
15,Ricky Walden,16,56,32,57.14%
16,Stuart Bingham,16,60,32,53.33%
17,Hossein Vafaei,15,46,31,67.39%
18,Xiao Guodong,15,59,31,52.54%
19,Zhou Yuelong,15,49,30,61.22%
20,Luca Brecel,17,48,29,60.42%
21,Jordan Brown,15,52,29,55.77%
22,Barry Hawkins,16,44,28,63.64%
23,Shaun Murphy,14,42,27,64.29%
24,Yuan Sijun,14,41,26,63.41%
25,Lu Ning,15,57,26,45.61%
26,Jamie Jones,14,41,25,60.98%
27,Lyu Haotian,14,43,25,58.14%
28,Joe Perry,16,48,25,52.08%
29,Tom Ford,15,43,24,55.81%
30,Gary Wilson,16,48,24,50%
31,Scott Donaldson,15,50,24,48%
32,Michael White,13,37,23,62.16%
33,Liang Wenbo,10,38,23,60.53%
34,Robert Milkins,15,39,22,56.41%
35,Jimmy Robertson,15,41,22,53.66%
36,David Gilbert,15,42,21,50%
37,Anthony McGill,12,32,20,62.5%
38,Thepchaiya Un-Nooh,14,35,20,57.14%
39,Martin Gould,13,43,20,46.51%
40,Noppon Saengkham,13,32,19,59.38%
41,Lukas Kleckers,17,37,19,51.35%
42,Jamie Clarke,14,37,19,51.35%
43,Jak Jones,14,33,18,54.55%
44,Zhang Anda,14,34,18,52.94%
45,Matthew Stevens,14,34,18,52.94%
46,Aaron Hill,16,37,18,48.65%
47,Matthew Selt,15,39,18,46.15%
48,Fan Zhengyi,14,30,17,56.67%
49,Ben Woollaston,14,32,17,53.13%
50,John Astley,16,32,17,53.13%
51,Daniel Wells,8,26,16,61.54%
52,Andrew Higginson,12,29,16,55.17%
53,Jianbo Zhao,14,31,16,51.61%
54,Sam Craigie,10,27,15,55.56%
55,Wu Yize,12,28,15,53.57%
