,Name,Tournaments Played,Matches Played,Matches Won,Match-win percentage
56,Si Jiahui,13,29,15,51.72%
57,Robbie Williams,13,29,15,51.72%
58,Zak Surety,15,30,15,50%
59,Stephen Maguire,13,30,15,50%
60,Ashley Hugill,14,31,15,48.39%
61,Steven Hallworth,14,31,15,48.39%
62,Tian Pengfei,14,28,14,50%
63,Anthony Hamilton,12,28,14,50%
64,Joe O'Connor,14,29,14,48.28%
65,Jackson Page,14,29,14,48.28%
66,Chris Wakelin,14,30,14,46.67%
67,Pang Junxu,13,31,14,45.16%
68,Kurt Maflin,7,20,13,65%
69,Rory McLeod,11,26,13,50%
70,Michael Holt,12,26,13,50%
71,Liam Highfield,13,28,13,46.43%
72,Farakh Ajaib,14,28,13,46.43%
73,James Cahill,15,28,13,46.43%
74,Sanderson Lam,16,29,13,44.83%
75,Andy Lee,8,20,12,60%
76,Akani Songsermsawad,9,21,12,57.14%
77,Michael Georgiou,10,22,12,54.55%
78,David Lilley,14,27,12,44.44%
79,Cao Yupeng,14,28,12,42.86%
80,Ian Burns,14,26,11,42.31%
81,Mitchell Mann,14,27,11,40.74%
82,Elliot Slessor,14,28,11,39.29%
83,Ross Muir,15,29,11,37.93%
84,Dechawat Poomjaeng,4,13,10,76.92%
85,Gao Yang,10,19,10,52.63%
86,Ben Hancorn,11,23,10,43.48%
87,Mark Joyce,14,24,10,41.67%
88,Xu Si,13,24,10,41.67%
89,David Grace,13,24,10,41.67%
90,Oliver Lines,14,26,10,38.46%
91,Li Hang,13,22,9,40.91%
92,Hammad Miah,13,23,9,39.13%
93,Fergal O'Brien,14,24,9,37.5%
94,Craig Steadman,14,25,9,36%
95,Daniel Womersley,5,13,8,61.54%
96,Florian Nüßle,5,13,8,61.54%
97,Asjad Iqbal,5,13,8,61.54%
98,Soheil Vahedi,9,17,8,47.06%
99,Haydon Pinhey,8,17,8,47.06%
100,Marco Fu,8,18,8,44.44%
101,Dylan Emery,11,21,8,38.1%
102,Fraser Patrick,13,22,8,36.36%
103,Andy Hicks,14,22,8,36.36%
104,Dominic Dale,14,23,8,34.78%
105,Peifan Lei,14,23,8,34.78%
106,Stuart Carrington,14,24,8,33.33%
107,Duane Jones,14,24,8,33.33%
108,Cheung Ka Wai,3,10,7,70%
109,George Pragnell (II),3,10,7,70%
110,Mohammed Asif,4,10,7,70%
111,Billy Joe Castle,4,11,7,63.64%
112,Ian Martin,5,13,7,53.85%
113,Liam Davies,7,14,7,50%
114,Ashley Carty,10,17,7,41.18%
115,Rod Lawler,10,17,7,41.18%
116,Robbie Mcguigan,8,17,7,41.18%
117,Ben Mertens,11,18,7,38.89%
118,Jenson Kendrick,10,18,7,38.89%
119,Chang Bingyu,13,20,7,35%
120,Allan Taylor,13,22,7,31.82%
121,Mark King,14,22,7,31.82%
122,Ken Doherty,14,23,7,30.43%
123,Tyler Rees,3,9,6,66.67%
124,Sean McAllister,3,9,6,66.67%
125,Daan Leyssen Janssen,3,9,6,66.67%
126,Ross Bulman,4,10,6,60%
127,Kuldesh Johal,5,11,6,54.55%
128,Callum Beresford,5,11,6,54.55%
129,Himanshu Jain,8,14,6,42.86%
130,Iulian Boiko,10,16,6,37.5%
131,Adam Duffy,9,16,6,37.5%
132,Peter Devlin,11,18,6,33.33%
133,Dean Young,12,18,6,33.33%
134,Jimmy White,13,19,6,31.58%
135,Louis Heathcote,14,22,6,27.27%
136,Mark Davis,14,22,6,27.27%
137,Thanawat Thirapongpaiboon,1,5,5,100%
138,Kritsanut Lertsattayathorn,2,7,5,71.43%
139,Pongsakron Chongjairak (II),2,7,5,71.43%
140,Narongdat Takantong,2,7,5,71.43%
141,Liu Hongyu,3,8,5,62.5%
142,Alfie Lee,3,8,5,62.5%
143,Wang Yuchen,3,8,5,62.5%
144,Alfie Davies,3,8,5,62.5%
145,Chris Totten,3,8,5,62.5%
146,Brandon Sargeant,3,8,5,62.5%
147,Rodney Goggins,3,8,5,62.5%
148,Stan Moody,4,9,5,55.56%
149,Leo Fernandez,5,10,5,50%
150,Lewis Ullah,5,10,5,50%
151,Bai Langning,9,13,5,38.46%
152,Sean Maddocks,10,15,5,33.33%
153,Martin O'Donnell,11,16,5,31.25%
154,Lee Walker,11,16,5,31.25%
155,Alexander Ursenbacher,12,17,5,29.41%
156,Zhang Jiankang,13,20,5,25%
157,Chen Zifan,14,20,5,25%
158,Barry Pinches,14,21,5,23.81%
159,Thor Chuan Leong,2,6,4,66.67%
160,Ratchata Khantee,2,6,4,66.67%
161,Thitiphong Choolasak,2,6,4,66.67%
162,Khash-Ochir Tuvshinjargal,2,6,4,66.67%
163,Chae Ross,3,7,4,57.14%
164,Keith Keldie,3,7,4,57.14%
165,Umut Dikme,3,7,4,57.14%
166,James Lee,3,7,4,57.14%
167,Matthew Glasby,3,7,4,57.14%
168,Lucky Vatnani,3,7,4,57.14%
169,Sydney Wilson,3,7,4,57.14%
170,Hamim Hussain,3,7,4,57.14%
171,Eden Sharav,3,7,4,57.14%
172,Saqib Nasir,3,7,4,57.14%
173,Simon Lichtenberg,6,10,4,40%
174,Harvey Chandler,4,10,4,40%
175,Nigel Bond,7,11,4,36.36%
176,Luke Simmonds,5,11,4,36.36%
177,Mark Lloyd,8,12,4,33.33%
178,Sean O'Sullivan,8,13,4,30.77%
179,Andres Petrov,7,13,4,30.77%
180,Peter Lines,13,19,4,21.05%
181,Andrew Pagett,14,19,4,21.05%
182,Gerard Greene,14,19,4,21.05%
183,Michael Judge,13,21,4,19.05%
184,Taweesap Kongkitchertchoo,2,5,3,60%
185,Poramin Danjirakul,2,5,3,60%
186,Chayanon Thiansuk,2,5,3,60%
187,Mubashir Raza,2,5,3,60%
188,Temuujin Enkhbold,2,5,3,60%
189,Ehsan Heydarinezhad,2,5,3,60%
190,Hamza Akbar,2,5,3,60%
191,Lkhagvasuren Tumurchudur,2,5,3,60%
192,Morteza Torabi (II),2,5,3,60%
193,Noppadon Sangnil,2,5,3,60%
194,Lim Kok Leong,2,5,3,60%
195,Phil O'Kane,3,6,3,50%
196,Rodion Judin,3,6,3,50%
197,Sergey Isaenko,3,6,3,50%
198,Patrick Whelan,3,6,3,50%
199,Connor Benzey,3,6,3,50%
200,Neal Jones,3,6,3,50%
201,Robert Read,3,6,3,50%
202,Mark Bell,3,6,3,50%
203,Fergal Quinn (II),3,6,3,50%
204,Martyn Taylor,3,6,3,50%
205,Simon Blackwell,4,7,3,42.86%
206,Ryan Davies,5,8,3,37.5%
207,Jamie Wilson,10,13,3,23.08%
208,Ng On Yee,13,18,3,16.67%
209,Alfie Burden,14,19,3,15.79%
210,Nader Jahadi,2,3,2,66.67%
211,Muhammad Naseem Akhtar,2,4,2,50%
212,Muhammad Siddiqui (II),2,4,2,50%
213,Putthakam Kimsuk,2,4,2,50%
214,Tawan Pooltong,2,4,2,50%
215,Amin Sanjaei,2,4,2,50%
216,Haris Tahir,2,4,2,50%
217,Thanaphon Bunplot,2,4,2,50%
218,Pornpiya Kaosumran,2,4,2,50%
219,Ahmed Abdullah Aseeri,2,4,2,50%
220,Alireza Rezaei,2,4,2,50%
221,Jefrey Roda,2,4,2,50%
222,Ronnie Blake,3,5,2,40%
223,Bradley Cowdroy,3,5,2,40%
224,Nattanapong Chaikul,3,5,2,40%
225,Liam Pullen,3,5,2,40%
226,James Silverwood,3,5,2,40%
227,Chau Hon Man,3,5,2,40%
228,Faizaan Mohammed,3,5,2,40%
229,Alex Taubman,3,5,2,40%
230,Sean Harvey,3,5,2,40%
231,Leone Crowley,3,5,2,40%
232,Niel Vincent,3,5,2,40%
233,Tony Knowles,3,5,2,40%
234,Ben Fortey,4,6,2,33.33%
235,Jamie Barrett,4,6,2,33.33%
236,Joshua Thomond,4,6,2,33.33%
237,Liam Graham,6,8,2,25%
238,Oliver Brown,7,11,2,18.18%
239,Julien Leclercq,7,11,2,18.18%
240,Jamie O'Neill,11,13,2,15.38%
241,Paul Deaville,1,2,1,50%
242,Gary Challis,3,3,1,33.33%
243,Zhong Wei Tan,2,3,1,33.33%
244,Chee Keong Chan,2,3,1,33.33%
245,Chung Leong Loh,2,3,1,33.33%
246,Siyavosh Mozayani,2,3,1,33.33%
247,Chang Wai Chung,2,3,1,33.33%
248,Alvin Barbero,2,3,1,33.33%
249,Teerawat Srikaithai,2,3,1,33.33%
250,Amir Sarkhosh,2,3,1,33.33%
251,Rattanachai Tupadilok,2,3,1,33.33%
252,Mendsaikhan Bat-Erdene,2,3,1,33.33%
253,Lkhagvadorj Ochirbal,2,3,1,33.33%
254,Mohamed Ibrahim,2,3,1,33.33%
255,Digvijay Kadian,3,4,1,25%
256,Jack Harris,3,4,1,25%
257,Sean Coote,3,4,1,25%
258,Bradley Tyson,3,4,1,25%
259,James Burrett,3,4,1,25%
260,James Height,3,4,1,25%
261,Ryan Mears,3,4,1,25%
262,Ian Desmier,3,4,1,25%
263,Haohui Deng,3,4,1,25%
264,Alex Clenshaw,3,4,1,25%
265,Andrew Turner,3,4,1,25%
266,Jack Bradford,3,4,1,25%
267,Isa Ishtiaq,3,4,1,25%
268,Simon Bedford,3,4,1,25%
269,Mark Vincent,3,4,1,25%
270,Halim Hussain,3,4,1,25%
271,Scott Bell,3,4,1,25%
272,Aidan Murphy,3,4,1,25%
273,Manasawin Phetmalaikul,3,4,1,25%
274,Marc Shaw,3,4,1,25%
275,Darryl Hill,3,4,1,25%
276,Gary Miller,3,4,1,25%
277,Jack Haley,3,4,1,25%
278,Joe Fenton,3,4,1,25%
279,Stephen Kershaw,3,4,1,25%
280,Hayden Staniland,3,4,1,25%
281,Chatchapong Nasa,3,4,1,25%
282,Jordan Shepherd,3,4,1,25%
283,Lee Shanker,3,4,1,25%
284,Kayden Brierley,3,4,1,25%
285,Yu Kiu Chang,3,4,1,25%
286,Brian Ochoiski,3,4,1,25%
287,Alex Millington,3,4,1,25%
288,Luke Pinches,4,5,1,20%
289,Stuart Watson,4,5,1,20%
290,Michael Collumb,4,5,1,20%
291,Lee Stephens,6,7,1,14.29%
292,Ryan Thomerson,7,9,1,11.11%
293,Anton Kazakov,8,10,1,10%
294,Yisong Peng,7,10,1,10%
295,Mink Nutcharut,9,12,1,8.33%
296,Ismail Türker (II),1,1,0,0%
297,Enes Bakirci,1,1,0,0%
298,Dylan Mitchell,1,1,0,0%
299,Lee Prickman,1,1,0,0%
300,Francis Becerra,1,1,0,0%
301,Yorrit Hoes,1,1,0,0%
302,Jongrak Boonrod,1,1,0,0%
303,Brad Ferguson,1,1,0,0%
304,Jake Crofts,2,2,0,0%
305,Nader Jaber Aldoseri,2,2,0,0%
306,Anukkhapon Kidsumran,2,2,0,0%
307,Pantakan Kamwiang,2,2,0,0%
308,Mohammad Reza Rafieyan,2,2,0,0%
309,Asutosh Padhy,2,2,0,0%
310,Moti Pakharin,2,2,0,0%
311,Pasin Puoborm,2,2,0,0%
312,Nutdanai Manawm,2,2,0,0%
313,Muhammad N Fahim,2,2,0,0%
314,Fahad Alvi,2,2,0,0%
315,Muhammad Umer Khan,2,2,0,0%
316,Yanawarut Phueakklom,2,2,0,0%
317,Muhammad Azhar Khan,2,2,0,0%
318,Moh Keen Ho,2,2,0,0%
319,Hunain Memon,2,2,0,0%
320,Wiphu Phuthisabodi,2,2,0,0%
321,Muhammad Altaf,2,2,0,0%
322,Mohammad Ali Moghadam,2,2,0,0%
323,Umer-Naeem Memon,2,2,0,0%
324,Muhammad Ahsan Javaid,2,2,0,0%
325,Tan Seng Teck,2,2,0,0%
326,Joel Connolly Jnr,2,2,0,0%
327,Josh Symes,3,3,0,0%
328,Andrew Milliard,3,3,0,0%
329,Mirko Montrasio,3,3,0,0%
330,Dean Reynolds,3,3,0,0%
331,Kreishh Gurbaxani,3,3,0,0%
332,Hrithik Jain,3,3,0,0%
333,Matthew Roberts,3,3,0,0%
334,Brandon Hall,3,3,0,0%
335,Darren Barton,3,3,0,0%
336,Abdul Raheem,3,3,0,0%
337,Mark Ganderton,3,3,0,0%
338,Kharazchi Jamshid,3,3,0,0%
339,John Fearick,3,3,0,0%
340,Daniel Walker,3,3,0,0%
341,Gareth Edwards,3,3,0,0%
342,Jason Wright,3,3,0,0%
343,Andy Neck,3,3,0,0%
344,Andy Marriott,3,3,0,0%
345,Paul Burrell,3,3,0,0%
346,Nigel Clarke,3,3,0,0%
347,Zhang Zhijie,3,3,0,0%
348,Michael Robert Joyce,3,3,0,0%
349,Ian Brumby,3,3,0,0%
350,Heather Clare,3,3,0,0%
351,Danny Connolly,3,3,0,0%
352,Simon Bevz,3,3,0,0%
353,Dylan Smith,3,3,0,0%
354,Victor Sarkis,3,3,0,0%
355,Stephen Hendry,4,4,0,0%
356,Joshua Cooper,4,4,0,0%
357,Amaan Iqbal,5,5,0,0%
358,Rebecca Kenna,8,8,0,0%
359,Reanne Evans,14,16,0,0%
