,Player1,Player2,Score1,Score2,Best Of,Round Name,Match Date,Tournament Name,Tournament id,Year
0,Zhao Xintong,Jamie Jones,4,2,7,Last 32,2020-12-16,2020 World Grand Prix,4174,2020
1,Kyren Wilson,Kurt Maflin,4,2,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
2,Hossein Vafaei,Zhou Yuelong,4,3,7,Last 32,2020-12-16,2020 World Grand Prix,4174,2020
3,Judd Trump,Michael Holt,4,3,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
4,Mark Selby,Liang Wenbo,4,3,7,Last 32,2020-12-16,2020 World Grand Prix,4174,2020
5,Ronnie O'Sullivan,Ali Carter,4,1,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
6,Lu Ning,Robbie Williams,4,3,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
7,Robert Milkins,Neil Robertson,4,2,7,Last 32,2020-12-14,2020 World Grand Prix,4174,2020
8,Anthony McGill,Joe Perry,4,2,7,Last 32,2020-12-14,2020 World Grand Prix,4174,2020
9,Jack Lisowski,Shaun Murphy,4,2,7,Last 32,2020-12-16,2020 World Grand Prix,4174,2020
10,Ding Junhui,Jak Jones,4,0,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
11,John Higgins,Xiao Guodong,4,2,7,Last 32,2020-12-14,2020 World Grand Prix,4174,2020
12,Barry Hawkins,Ricky Walden,4,1,7,Last 32,2020-12-14,2020 World Grand Prix,4174,2020
13,Martin Gould,Mark Allen,4,3,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
14,Yan Bingtao,David Grace,4,3,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
15,Stuart Bingham,Li Hang,4,2,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
16,Zhao Xintong,John Higgins,4,3,7,Last 16,2020-12-17,2020 World Grand Prix,4174,2020
17,Kyren Wilson,Yan Bingtao,4,1,7,Last 16,2020-12-16,2020 World Grand Prix,4174,2020
18,Hossein Vafaei,Ding Junhui,4,1,7,Last 16,2020-12-17,2020 World Grand Prix,4174,2020
19,Judd Trump,Stuart Bingham,4,3,7,Last 16,2020-12-16,2020 World Grand Prix,4174,2020
20,Mark Selby,Anthony McGill,4,2,7,Last 16,2020-12-17,2020 World Grand Prix,4174,2020
21,Ronnie O'Sullivan,Barry Hawkins,4,1,7,Last 16,2020-12-16,2020 World Grand Prix,4174,2020
22,Jack Lisowski,Robert Milkins,4,0,7,Last 16,2020-12-17,2020 World Grand Prix,4174,2020
23,Martin Gould,Lu Ning,4,1,7,Last 16,2020-12-16,2020 World Grand Prix,4174,2020
24,Judd Trump,Martin Gould,5,2,9,Quarter-final,2020-12-17,2020 World Grand Prix,4174,2020
25,Mark Selby,Hossein Vafaei,5,3,9,Quarter-final,2020-12-18,2020 World Grand Prix,4174,2020
26,Ronnie O'Sullivan,Kyren Wilson,5,3,9,Quarter-final,2020-12-17,2020 World Grand Prix,4174,2020
27,Jack Lisowski,Zhao Xintong,5,3,9,Quarter-final,2020-12-18,2020 World Grand Prix,4174,2020
28,Judd Trump,Ronnie O'Sullivan,6,1,11,Semi-final,2020-12-18,2020 World Grand Prix,4174,2020
29,Jack Lisowski,Mark Selby,6,4,11,Semi-final,2020-12-19,2020 World Grand Prix,4174,2020
30,Judd Trump,Jack Lisowski,10,7,19,Final,2020-12-20,2020 World Grand Prix,4174,2020
31,Jianbo Zhao,Kacper Filipiak,4,0,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
32,Zhou Yuelong,Peter Lines,4,1,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
33,Gao Yang,Duane Jones,4,2,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
34,Zhao Xintong,Rod Lawler,4,0,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
35,Ben Woollaston,Amine Amiri,4,1,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
36,Kyren Wilson,Simon Lichtenberg,4,1,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
37,Robbie Williams,Paul Davison,4,2,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
38,Mark Williams,Lukas Kleckers,4,3,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
39,Michael White,Scott Donaldson,4,2,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
40,Liang Wenbo,David Lilley,4,1,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
41,Lee Walker,Fergal O'Brien,4,3,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
42,Ricky Walden,Pang Junxu,4,0,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
43,Chris Wakelin,Fraser Patrick,4,0,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
44,Hossein Vafaei,Mitchell Mann,4,2,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
45,Thepchaiya Un-Nooh,Michael Collumb,4,3,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
46,Judd Trump,Alexander Ursenbacher,4,1,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
47,Zak Surety,Stephen Maguire,4,1,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
48,Matthew Stevens,David Gilbert,4,3,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
49,Akani Songsermsawad,Ian Burns,4,2,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
50,Eden Sharav,Anthony Hamilton,4,3,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
51,Matthew Selt,Elliot Slessor,4,0,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
52,Mark Selby,Yuan Sijun,4,1,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
53,Brandon Sargeant,Sean Maddocks,4,1,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
54,Noppon Saengkham,Jimmy Robertson,4,2,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
55,Tian Pengfei,Martin Gould,4,1,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
56,Jackson Page,Joe Perry,4,3,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
57,Ronnie O'Sullivan,Allan Taylor,4,2,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
58,Jamie O'Neill,Kurt Maflin,4,3,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
59,Martin O'Donnell,Jamie Wilson,4,2,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
60,Joe O'Connor,Iulian Boiko,4,1,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
61,Lu Ning,Riley Parsons,4,0,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
62,Shaun Murphy,David Grace,4,1,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
63,Robert Milkins,Graeme Dott,4,0,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
64,Alan McManus,Xiao Guodong,4,2,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
65,Jack Lisowski,Oliver Lines,4,2,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
66,Mark King,Chen Zifan,4,0,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
67,Ding Junhui,Mark Davis,4,0,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
68,Mark Joyce,Xu Si,4,2,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
69,Jamie Jones,Daniel Wells,4,2,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
70,Jak Jones,Yan Bingtao,4,1,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
71,Ashley Hugill,Farakh Ajaib,4,0,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
72,Michael Holt,Gerard Greene,4,1,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
73,Liam Highfield,Fan Zhengyi,4,0,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
74,John Higgins,Soheil Vahedi,4,3,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
75,Andy Hicks,Billy Joe Castle,4,2,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
76,Louis Heathcote,Si Jiahui,4,2,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
77,Barry Hawkins,Stuart Carrington,4,0,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
78,Lyu Haotian,Gary Wilson,4,0,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
79,Li Hang,Luo Honghao,4,3,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
80,Steven Hallworth,Brian Ochoiski,4,1,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
81,Tom Ford,Rory McLeod,4,0,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
82,Peter Devlin,Aaron Hill,4,2,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
83,Dominic Dale,Igor Figueiredo,4,3,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
84,Sam Craigie,Anthony McGill,4,2,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
85,Jamie Clarke,James Cahill,4,2,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
86,Ali Carter,Ryan Day,4,2,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
87,Jordan Brown,Barry Pinches,4,3,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
88,Luca Brecel,Andrew Higginson,4,3,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
89,Nigel Bond,Gary Thomson,4,2,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
90,Chang Bingyu,Ken Doherty,4,1,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
91,Stuart Bingham,Ben Hancorn,4,2,7,Last 128,2020-12-08,2020 Scottish Open,4165,2020
92,Mark Allen,Jimmy White,4,1,7,Last 128,2020-12-07,2020 Scottish Open,4165,2020
93,Jianbo Zhao,Zhao Xintong,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
94,Zhou Yuelong,Jordan Brown,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
95,Kyren Wilson,Steven Hallworth,4,1,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
96,Robbie Williams,Ali Carter,4,3,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
97,Mark Williams,Dominic Dale,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
98,Liang Wenbo,Luca Brecel,4,1,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
99,Ricky Walden,Tom Ford,4,3,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
100,Judd Trump,Mark King,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
101,Zak Surety,Gao Yang,4,1,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
102,Eden Sharav,Peifan Lei,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
103,Mark Selby,Nigel Bond,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
104,Noppon Saengkham,John Higgins,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
105,Tian Pengfei,Chris Wakelin,4,1,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
106,Jackson Page,Ashley Carty,4,3,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
107,Ronnie O'Sullivan,Chang Bingyu,4,1,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
108,Jamie O'Neill,Hossein Vafaei,4,1,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
109,Martin O'Donnell,Michael White,4,2,7,Last 64,2020-12-10,2020 Scottish Open,4165,2020
110,Lu Ning,Thepchaiya Un-Nooh,4,1,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
111,Shaun Murphy,Peter Devlin,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
112,Robert Milkins,Ashley Hugill,4,1,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
113,Ding Junhui,Andy Hicks,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
114,Mark Joyce,Ben Woollaston,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
115,Jamie Jones,Matthew Stevens,4,3,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
116,Michael Holt,Louis Heathcote,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
117,Liam Highfield,Jak Jones,4,0,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
118,Barry Hawkins,Jamie Clarke,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
119,Lyu Haotian,Alan McManus,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
120,Li Hang,Matthew Selt,4,3,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
121,Sam Craigie,Brandon Sargeant,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
122,Stuart Bingham,Lee Walker,4,0,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
123,Mark Allen,Joe O'Connor,4,2,7,Last 64,2020-12-09,2020 Scottish Open,4165,2020
124,Kyren Wilson,Michael Holt,4,2,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
125,Robbie Williams,Lu Ning,4,3,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
126,Mark Williams,Jackson Page,4,1,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
127,Ricky Walden,Zak Surety,4,0,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
128,Judd Trump,Liang Wenbo,4,2,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
129,Eden Sharav,Jianbo Zhao,4,1,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
130,Mark Selby,Mark Joyce,4,2,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
131,Ronnie O'Sullivan,Tian Pengfei,4,3,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
132,Jamie O'Neill,Shaun Murphy,4,2,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
133,Ding Junhui,Martin O'Donnell,4,0,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
134,Jamie Jones,Sam Craigie,4,3,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
135,Barry Hawkins,Liam Highfield,4,3,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
136,Lyu Haotian,Akani Songsermsawad,4,3,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
137,Li Hang,Noppon Saengkham,4,1,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
138,Stuart Bingham,Robert Milkins,4,3,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
139,Mark Allen,Zhou Yuelong,4,3,7,Last 32,2020-12-10,2020 Scottish Open,4165,2020
140,Kyren Wilson,Barry Hawkins,4,3,7,Last 16,2020-12-10,2020 Scottish Open,4165,2020
141,Ricky Walden,Mark Allen,4,3,7,Last 16,2020-12-10,2020 Scottish Open,4165,2020
142,Judd Trump,Mark Williams,4,1,7,Last 16,2020-12-10,2020 Scottish Open,4165,2020
143,Mark Selby,Lyu Haotian,4,1,7,Last 16,2020-12-10,2020 Scottish Open,4165,2020
144,Ronnie O'Sullivan,Robbie Williams,4,1,7,Last 16,2020-12-10,2020 Scottish Open,4165,2020
145,Ding Junhui,Jamie O'Neill,4,3,7,Last 16,2020-12-10,2020 Scottish Open,4165,2020
146,Jamie Jones,Eden Sharav,4,3,7,Last 16,2020-12-10,2020 Scottish Open,4165,2020
147,Li Hang,Stuart Bingham,4,3,7,Last 16,2020-12-10,2020 Scottish Open,4165,2020
148,Mark Selby,Ricky Walden,5,4,9,Quarter-final,2020-12-11,2020 Scottish Open,4165,2020
149,Ronnie O'Sullivan,Ding Junhui,5,4,9,Quarter-final,2020-12-11,2020 Scottish Open,4165,2020
150,Jamie Jones,Kyren Wilson,5,1,9,Quarter-final,2020-12-11,2020 Scottish Open,4165,2020
151,Li Hang,Judd Trump,5,4,9,Quarter-final,2020-12-11,2020 Scottish Open,4165,2020
152,Mark Selby,Jamie Jones,6,1,11,Semi-final,2020-12-12,2020 Scottish Open,4165,2020
153,Ronnie O'Sullivan,Li Hang,6,4,11,Semi-final,2020-12-12,2020 Scottish Open,4165,2020
154,Mark Selby,Ronnie O'Sullivan,9,3,17,Final,2020-12-13,2020 Scottish Open,4165,2020
155,Chen Zifan,Yuan Sijun,6,5,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
156,Zhou Yuelong,Peter Devlin,6,1,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
157,Zhao Xintong,Rory McLeod,6,3,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
158,Kyren Wilson,Ashley Hugill,6,4,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
159,Robbie Williams,Mark Davis,6,4,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
160,Mark Williams,Ben Hancorn,6,0,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
161,Jimmy White,Alan McManus,6,4,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
162,Liang Wenbo,Allan Taylor,6,3,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
163,Ricky Walden,Rod Lawler,6,0,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
164,Chris Wakelin,Louis Heathcote,6,0,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
165,Hossein Vafaei,Billy Joe Castle,6,3,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
166,Alexander Ursenbacher,Nigel Bond,6,3,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
167,Thepchaiya Un-Nooh,Lukas Kleckers,6,2,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
168,Judd Trump,Paul Davison,6,1,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
169,Akani Songsermsawad,Kacper Filipiak,6,1,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
170,Elliot Slessor,Mitchell Mann,6,3,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
171,Matthew Selt,Amine Amiri,6,0,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
172,Mark Selby,Michael White,6,4,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
173,Noppon Saengkham,Peter Lines,6,3,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
174,Neil Robertson,Brian Ochoiski,6,0,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
175,Joe Perry,Alex Borg,6,0,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
176,Tian Pengfei,Jamie O'Neill,6,0,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
177,Ronnie O'Sullivan,Leo Fernandez,6,0,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
178,Joe O'Connor,Duane Jones,6,4,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
179,Lu Ning,Ken Doherty,6,4,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
180,Shaun Murphy,Lee Walker,6,5,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
181,Robert Milkins,Si Jiahui,6,4,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
182,Anthony McGill,Steven Hallworth,6,4,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
183,Stephen Maguire,Iulian Boiko,6,1,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
184,Kurt Maflin,Aaron Hill,6,3,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
185,Jack Lisowski,Farakh Ajaib,6,2,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
186,Oliver Lines,Gary Wilson,6,4,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
187,Simon Lichtenberg,Scott Donaldson,6,3,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
188,Mark King,David Lilley,6,5,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
189,Pang Junxu,Tom Ford,6,4,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
190,Ding Junhui,Jamie Barrett,6,1,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
191,Mark Joyce,Eden Sharav,6,1,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
192,Michael Holt,Gao Yang,6,4,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
193,Liam Highfield,Jackson Page,6,3,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
194,Andrew Higginson,James Cahill,6,5,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
195,John Higgins,Fergal O'Brien,6,1,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
196,Andy Hicks,Ben Woollaston,6,5,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
197,Barry Hawkins,Riley Parsons,6,1,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
198,Lyu Haotian,Soheil Vahedi,6,4,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
199,Li Hang,Fraser Patrick,6,3,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
200,Xiao Guodong,Brandon Sargeant,6,1,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
201,Gerard Greene,Daniel Wells,6,4,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
202,David Grace,Ian Burns,6,4,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
203,David Gilbert,Fan Zhengyi,6,3,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
204,Igor Figueiredo,Jimmy Robertson,6,5,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
205,Graeme Dott,Jianbo Zhao,6,1,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
206,Dominic Dale,Luo Honghao,6,3,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
207,Jamie Clarke,Martin O'Donnell,6,5,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
208,Ashley Carty,Ali Carter,6,4,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
209,Stuart Carrington,Barry Pinches,6,5,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
210,Jordan Brown,Martin Gould,6,5,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
211,Luca Brecel,Peifan Lei,6,2,11,Last 128,2020-11-24,2020 UK Championship,4152,2020
212,Chang Bingyu,Sam Craigie,6,4,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
213,Yan Bingtao,Sean Maddocks,6,4,11,Last 128,2020-11-23,2020 UK Championship,4152,2020
214,Stuart Bingham,Zak Surety,6,2,11,Last 128,2020-11-25,2020 UK Championship,4152,2020
215,Mark Allen,Jamie Wilson,6,1,11,Last 128,2020-11-26,2020 UK Championship,4152,2020
216,Chen Zifan,Yan Bingtao,6,5,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
217,Zhou Yuelong,Jimmy White,6,1,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
218,Kyren Wilson,Mark Joyce,6,2,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
219,Mark Williams,Akani Songsermsawad,6,2,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
220,Liang Wenbo,Andy Hicks,6,3,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
221,Ricky Walden,Ashley Carty,6,2,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
222,Hossein Vafaei,Michael Holt,6,4,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
223,Alexander Ursenbacher,Ronnie O'Sullivan,6,5,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
224,Judd Trump,Dominic Dale,6,3,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
225,Elliot Slessor,Shaun Murphy,6,1,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
226,Xu Si,Oliver Lines,6,1,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
227,Mark Selby,Liam Highfield,6,1,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
228,Neil Robertson,Chris Wakelin,6,1,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
229,Joe Perry,Igor Figueiredo,6,2,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
230,Joe O'Connor,Thepchaiya Un-Nooh,6,3,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
231,Lu Ning,Matthew Selt,6,0,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
232,Robert Milkins,David Gilbert,6,4,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
233,Anthony McGill,Lyu Haotian,6,5,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
234,Stephen Maguire,Stuart Carrington,6,4,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
235,Kurt Maflin,Jamie Clarke,6,5,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
236,Jack Lisowski,Tian Pengfei,6,2,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
237,Pang Junxu,Noppon Saengkham,6,4,11,Last 64,2020-11-30,2020 UK Championship,4152,2020
238,Jamie Jones,Jordan Brown,6,4,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
239,Jak Jones,Simon Lichtenberg,6,2,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
240,John Higgins,Gerard Greene,6,3,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
241,Barry Hawkins,Robbie Williams,6,1,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
242,Li Hang,Zhao Xintong,6,3,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
243,Xiao Guodong,Luca Brecel,6,5,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
244,David Grace,Ding Junhui,6,5,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
245,Graeme Dott,Mark King,6,4,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
246,Chang Bingyu,Mark Allen,6,5,11,Last 64,2020-11-28,2020 UK Championship,4152,2020
247,Stuart Bingham,Andrew Higginson,6,1,11,Last 64,2020-11-29,2020 UK Championship,4152,2020
248,Zhou Yuelong,Chang Bingyu,6,5,11,Last 32,2020-11-30,2020 UK Championship,4152,2020
249,Kyren Wilson,Kurt Maflin,6,3,11,Last 32,2020-12-01,2020 UK Championship,4152,2020
250,Ricky Walden,Mark Williams,6,5,11,Last 32,2020-12-01,2020 UK Championship,4152,2020
251,Judd Trump,Liang Wenbo,6,1,11,Last 32,2020-11-30,2020 UK Championship,4152,2020
252,Mark Selby,Hossein Vafaei,6,2,11,Last 32,2020-12-01,2020 UK Championship,4152,2020
253,Neil Robertson,Li Hang,6,2,11,Last 32,2020-11-30,2020 UK Championship,4152,2020
254,Joe Perry,Joe O'Connor,6,5,11,Last 32,2020-12-01,2020 UK Championship,4152,2020
255,Lu Ning,Elliot Slessor,6,1,11,Last 32,2020-12-01,2020 UK Championship,4152,2020
256,Anthony McGill,Chen Zifan,6,1,11,Last 32,2020-11-30,2020 UK Championship,4152,2020
257,Jack Lisowski,Xu Si,6,2,11,Last 32,2020-12-01,2020 UK Championship,4152,2020
258,Pang Junxu,Stephen Maguire,6,5,11,Last 32,2020-12-01,2020 UK Championship,4152,2020
259,Jamie Jones,Alexander Ursenbacher,6,4,11,Last 32,2020-12-01,2020 UK Championship,4152,2020
260,John Higgins,Jak Jones,6,2,11,Last 32,2020-11-30,2020 UK Championship,4152,2020
261,Barry Hawkins,Robert Milkins,6,3,11,Last 32,2020-11-30,2020 UK Championship,4152,2020
262,Xiao Guodong,David Grace,6,3,11,Last 32,2020-11-30,2020 UK Championship,4152,2020
263,Graeme Dott,Stuart Bingham,6,2,11,Last 32,2020-11-30,2020 UK Championship,4152,2020
264,Zhou Yuelong,John Higgins,6,2,11,Last 16,2020-12-02,2020 UK Championship,4152,2020
