,id,year,url,name,status,category,city,country
199,4495,2021,https://cuetracker.net/tournaments/northern-ireland-open/2021/4495,2021 Northern Ireland Open,Professional,Ranking,Belfast,Northern Ireland
200,4544,2021,https://cuetracker.net/tournaments/scottish-under-14-championship/2021/4544,2021 Scottish Under-14 Championship,Amateur,National Championship,Various,Scotland
201,4547,2021,https://cuetracker.net/tournaments/dutch-amateur-championship/2021/4547,2021 Dutch Amateur Championship,Amateur,National Championship,Zaandam,Netherlands
202,4539,2021,https://cuetracker.net/tournaments/epsb-open-series-barratts-event-3/2021/4539,2021 EPSB Open Series - Barratts - Event 3,Amateur,Event,Northampton,England
203,4542,2021,https://cuetracker.net/tournaments/german-grand-prix-event-1/2021/4542,2021 German Grand Prix - Event 1,Amateur,National Ranking,Heilbronn,Germany
204,4537,2021,https://cuetracker.net/tournaments/european-championships-men/2021/4537,2021 European Championships - Men,Amateur,Continental Event,Albufeira,Portugal
205,4536,2021,https://cuetracker.net/tournaments/european-6-reds-championship/2021/4536,2021 European 6-Reds Championship,Amateur,Continental Event,Albufeira,Portugal
206,4535,2021,https://cuetracker.net/tournaments/european-championships-under-21/2021/4535,2021 European Championships - Under-21,Amateur,Continental Event,Albufeira,Portugal
207,4531,2021,https://cuetracker.net/tournaments/epsb-open-series-breakers-event-3/2021/4531,2021 EPSB Open Series - Breakers - Event 3,Amateur,Event,Leicester,England
208,4532,2021,https://cuetracker.net/tournaments/epsb-open-series-cueball-event-1/2021/4532,2021 EPSB Open Series - Cueball - Event 1,Amateur,Event,Derby,England
209,4533,2021,https://cuetracker.net/tournaments/epsb-open-series-tradewell-event-3/2021/4533,2021 EPSB Open Series - Tradewell - Event 3,Amateur,Event,Hull,England
210,4534,2021,https://cuetracker.net/tournaments/epsb-womens-tour-event-2/2021/4534,2021 EPSB Womens Tour - Event 2,Amateur,Event,Liverpool,England
211,4529,2021,https://cuetracker.net/tournaments/epsb-womens-tour-event-1/2021/4529,2021 EPSB Womens Tour - Event 1,Amateur,Event,Liverpool,England
212,4530,2021,https://cuetracker.net/tournaments/european-championships-under-18/2021/4530,2021 European Championships - Under-18,Amateur,Continental Event,Albufeira,Portugal
213,5456,2021,https://cuetracker.net/tournaments/pakistan-amateur-championship/2021/5456,2021 Pakistan Amateur Championship,Amateur,National Championship,Karachi,Pakistan
214,4523,2021,https://cuetracker.net/tournaments/epsb-open-series-breakers-event-2/2021/4523,2021 EPSB Open Series - Breakers - Event 2,Amateur,Event,Leicester,England
215,4517,2021,https://cuetracker.net/tournaments/scottish-amateur-championship/2021/4517,2021 Scottish Amateur Championship,Amateur,National Championship,Various,Scotland
216,4519,2021,https://cuetracker.net/tournaments/epsb-open-series-barratts-event-2/2021/4519,2021 EPSB Open Series - Barratts - Event 2,Amateur,Event,Northampton,England
217,4526,2021,https://cuetracker.net/tournaments/estonian-amateur-championship/2021/4526,2021 Estonian Amateur Championship,Amateur,National Championship,Tallinn,Estonia
218,4559,2021,https://cuetracker.net/tournaments/irish-masters-championship/2021/4559,2021 Irish Masters Championship,Amateur,National Championship,Cork,Ireland
219,4524,2021,https://cuetracker.net/tournaments/scottish-under-16-championship/2021/4524,2021 Scottish Under-16 Championship,Amateur,National Championship,Various,Scotland
220,4525,2021,https://cuetracker.net/tournaments/ukrainian-amateur-championship/2021/4525,2021 Ukrainian Amateur Championship,Amateur,National Championship,Kiev,Ukraine
221,4516,2021,https://cuetracker.net/tournaments/epsb-open-series-sams-event-1/2021/4516,2021 EPSB Open Series - Sams - Event 1,Amateur,Event,Hartlepool,England
222,4515,2021,https://cuetracker.net/tournaments/epsb-open-series-tradewell-event-2/2021/4515,2021 EPSB Open Series - Tradewell - Event 2,Amateur,Event,Hull,England
223,4527,2021,https://cuetracker.net/tournaments/scottish-masters-championship/2021/4527,2021 Scottish Masters Championship,Amateur,National Championship,Various,Scotland
224,4514,2021,https://cuetracker.net/tournaments/epsb-open-series-winchester-event-2/2021/4514,2021 EPSB Open Series - Winchester - Event 2,Amateur,Event,Leicester,England
225,4520,2021,https://cuetracker.net/tournaments/scottish-under-21-championship/2021/4520,2021 Scottish Under-21 Championship,Amateur,National Championship,Various,Scotland
226,4511,2021,https://cuetracker.net/tournaments/ibsf-6-reds-world-championship-men/2021/4511,2021 IBSF 6-Reds World Championship - Men,Amateur,World Event,Doha,Qatar
227,4510,2021,https://cuetracker.net/tournaments/asian-championship/2021/4510,2021 Asian Championship,Amateur,Continental Event,Doha,Qatar
228,4506,2021,https://cuetracker.net/tournaments/epsb-open-series-breakers-event-1/2021/4506,2021 EPSB Open Series - Breakers - Event 1,Amateur,Event,Leicester,England
229,4505,2021,https://cuetracker.net/tournaments/seniors-tour-event-2/2021/4505,2021 Seniors Tour - Event 2,Amateur,Event,Hull,England
230,4503,2021,https://cuetracker.net/tournaments/epsb-open-series-barratts-event-1/2021/4503,2021 EPSB Open Series - Barratts - Event 1,Amateur,Event,Northampton,England
231,4504,2021,https://cuetracker.net/tournaments/seniors-tour-event-1/2021/4504,2021 Seniors Tour - Event 1,Amateur,Event,Hull,England
232,4507,2021,https://cuetracker.net/tournaments/swedish-womens-championship/2021/4507,2021 Swedish Womens Championship,Amateur,National Championship,Stockholm,Sweden
233,4509,2021,https://cuetracker.net/tournaments/romania-national-league-event-7/2021/4509,2021 Romania - National League - Event 7,Amateur,National Ranking,Bucharest,Romania
234,4502,2021,https://cuetracker.net/tournaments/italian-amateur-championship/2021/4502,2021 Italian Amateur Championship,Amateur,National Championship,Bolzano,Italy
235,4500,2021,https://cuetracker.net/tournaments/epsb-open-series-tradewell-event-1/2021/4500,2021 EPSB Open Series - Tradewell - Event 1,Amateur,Event,Hull,England
236,4501,2021,https://cuetracker.net/tournaments/epsb-open-series-winchester-event-1/2021/4501,2021 EPSB Open Series - Winchester - Event 1,Amateur,Event,Leicester,England
237,4497,2021,https://cuetracker.net/tournaments/uk-womens-championship/2021/4497,2021 UK Womens Championship,Amateur,Event,Leeds,England
238,4498,2021,https://cuetracker.net/tournaments/uk-womens-championship-seniors/2021/4498,2021 UK Womens Championship - Seniors,Amateur,Event,Leeds,England
239,4499,2021,https://cuetracker.net/tournaments/uk-womens-championship-under-21/2021/4499,2021 UK Womens Championship - Under-21,Amateur,Event,Leeds,England
240,4494,2021,https://cuetracker.net/tournaments/british-open/2021/4494,2021 British Open,Professional,Ranking,Leicester,England
241,4493,2021,https://cuetracker.net/tournaments/english-womens-open/2021/4493,2021 English Womens Open,Amateur,Event,Leeds,England
