player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
John Higgins,David Gilbert,9,1618,1555,0.5959077229449327,0.5392938058983595,1655,1170,12979,7671,811,472,5605,3020,316,192,1354,793,240,143,1127,629,5,3,0.0,0.625,4495
Yan Bingtao,Mitchell Mann,9,1495,1224,0.8497422960559372,0.6631804950993565,277,178,1953,1089,322,146,1979,940,177,100,873,485,150,80,372,164,5,0,0.0,1.0,4495
Mark Allen,Judd Trump,9,1530,1635,0.34301287924355417,0.43474925243290014,916,602,6399,3634,1227,868,8291,4988,155,94,866,504,330,209,1783,1125,5,3,0.0,0.625,4495
John Higgins,Yan Bingtao,11,1618,1495,0.6986901270792941,0.5762749224932653,1655,1170,12979,7671,277,178,1953,1089,316,192,1354,793,177,100,873,485,6,2,0.0,0.75,4495
Mark Allen,Ricky Walden,11,1530,1476,0.5905369210165868,0.5336988354329009,916,602,6399,3634,1005,597,6845,3760,155,94,866,504,177,102,706,383,6,3,0.0,0.6666666666666666,4495
Mark Allen,John Higgins,17,1530,1618,0.32282970886335866,0.4452207648927852,916,602,6399,3634,1655,1170,12979,7671,155,94,866,504,316,192,1354,793,9,8,0.0,0.5294117647058824,4495
Cao Yupeng,Mitchell Mann,7,1451,1263,0.7393846765226212,0.6153837563911821,277,145,1913,979,327,150,2006,956,57,34,57,34,177,96,399,180,4,0,0.0,1.0,4512
Wu Yize,Ashley Hugill,7,1089,1242,0.30055574355873826,0.4055240692517599,24,7,161,69,179,78,991,467,13,6,161,69,92,41,303,144,4,3,0.0,0.5714285714285714,4512
Zhao Xintong,Jimmy White,7,1412,1190,0.7752232149046754,0.6352948493228071,290,162,1850,1009,1512,824,12690,6597,164,82,681,377,89,39,376,152,4,1,0.0,0.8,4512
Ben Woollaston,Jackson Page,7,1372,1285,0.6170981549456108,0.5541616527636486,733,415,4628,2459,112,54,674,326,109,58,613,325,119,64,390,183,4,0,0.0,1.0,4512
Kyren Wilson,Noppon Saengkham,7,1508,1380,0.6692199309586204,0.5793242521487495,805,506,5185,2899,338,168,2329,1157,459,243,1632,926,96,51,548,288,4,0,0.0,1.0,4512
Jamie Wilson,Robert Milkins,7,1049,1364,0.14310407990585822,0.31270571980279593,38,14,170,70,982,571,6933,3734,81,33,170,70,128,62,589,296,4,0,0.0,1.0,4512
Gary Wilson,Craig Steadman,7,1434,1299,0.6778138346852377,0.5835831155172753,579,338,3741,2024,529,282,3397,1767,210,106,922,499,73,40,366,185,4,2,0.0,0.6666666666666666,4512
Robbie Williams,Peter Lines,7,1326,1242,0.6131794491635048,0.5523079095743253,459,241,2974,1512,871,457,6156,3161,99,47,510,258,130,64,424,198,4,0,0.0,1.0,4512
Ricky Walden,Michael Judge,7,1490,1277,0.7660354477872332,0.6300660082850182,1011,602,6887,3784,506,293,4013,2151,219,126,748,407,66,40,121,66,4,0,0.0,1.0,4512
Chris Wakelin,Michael Holt,7,1305,1309,0.4945314322857424,0.49750002083312506,283,144,1857,940,953,542,6677,3528,140,65,476,231,95,38,547,279,4,3,0.0,0.5714285714285714,4512
Soheil Vahedi,Joe Perry,7,1213,1391,0.27172488874541606,0.3905502163716748,114,40,665,284,1269,747,8792,4773,143,76,394,182,227,116,1018,549,4,2,0.0,0.6666666666666666,4512
Hossein Vafaei,Kurt Maflin,7,1360,1377,0.476771798023094,0.4893765989950364,198,110,1400,711,630,357,4287,2298,109,51,512,261,67,26,630,336,4,1,0.0,0.8,4512
Alexander Ursenbacher,Ben Hancorn,7,1374,1125,0.8014494333741898,0.6507869207968349,214,101,1293,619,85,39,414,200,127,67,539,276,94,38,224,106,4,2,0.0,0.6666666666666666,4512
Thepchaiya Un-Nooh,Jamie O'Neill,7,1352,1281,0.5960612197256479,0.5442588584178731,463,270,3216,1706,353,182,2183,1124,129,61,733,394,91,47,318,150,4,0,0.0,1.0,4512
Judd Trump,Matthew Selt,7,1628,1410,0.7711668601434363,0.6329747766804606,1232,872,8321,5007,712,386,4672,2441,360,228,1813,1144,200,108,728,379,4,1,0.0,0.8,4512
Allan Taylor,Oliver Sykes,7,1256,1000,0.8079159048674549,0.6547534606063192,379,178,2199,1065,0,0,0,0,86,40,329,163,0,0,0,0,4,1,0.0,0.8,4512
Akani Songsermsawad,Ken Doherty,7,1356,1288,0.5920814957526257,0.542397940774351,190,100,1252,638,1223,723,9709,5274,104,56,429,222,88,38,438,206,4,1,0.0,0.8,4512
Xu Si,Jamie Jones,7,1254,1410,0.2970193973349833,0.40371730070321216,120,45,753,330,565,339,3720,2020,71,33,353,162,141,76,298,167,4,2,0.0,0.6666666666666666,4512
Mark Selby,Sanderson Lam,7,1607,1087,0.9578737869926421,0.7858349830425586,1375,945,9833,5741,191,71,1136,487,369,205,1588,917,81,43,176,76,4,2,0.0,0.6666666666666666,4512
Neil Robertson,Andy Hicks,7,1591,1211,0.8996783008876897,0.7211151780228631,1119,746,8263,4762,697,372,5390,2778,178,98,1341,805,85,37,373,173,4,0,0.0,1.0,4512
Jimmy Robertson,Yuan Sijun,7,1421,1364,0.5774056625100122,0.5355648379838539,624,339,4081,2124,167,80,1077,529,148,85,638,330,108,62,491,257,4,0,0.0,1.0,4512
Tian Pengfei,Barry Pinches,7,1401,1175,0.7792359029381558,0.637608652621925,483,270,3188,1697,816,417,6126,3158,106,52,503,266,103,42,374,168,4,0,0.0,1.0,4512
Fraser Patrick,Simon Lichtenberg,7,1175,1194,0.47404295972292854,0.4881272322437472,261,104,1635,745,101,40,549,247,109,50,294,129,95,49,358,164,4,1,0.0,0.8,4512
Ronnie O'Sullivan,David Lilley,7,1589,1242,0.8793759455680459,0.704225233864307,1375,1051,11909,7274,177,92,1019,525,268,151,1056,628,150,79,400,191,4,1,0.0,0.8,4512
