player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id,p1_frames_win_rate,p2_frames_win_rate,p1_matches_win_rate,p2_matches_win_rate
Ronnie Sullivan,Joseph Casha,7,945,976,0.4577018760615691,0.4806346917700681,5,0,24,4,2,0,9,1,7,3,24,4,5,1,5,1,4,3,0.0,0.5714285714285714,6803,0.16666666666666666,0.1111111111111111,0.0,0.0
Luke Simmonds,Daniel Walker,7,1116,796,0.8605948171135659,0.6899744811276125,181,93,1130,580,17,0,74,6,4,0,35,10,4,0,21,1,4,0,0.0,1.0,6803,0.5132743362831859,0.08108108108108109,0.5138121546961326,0.0
James Silverwood,Oliver Briffett-Payne,7,930,950,0.4726790179572131,0.4875026035157896,106,33,558,224,6,0,34,8,5,1,40,15,9,1,34,8,4,1,0.0,0.8,6803,0.4014336917562724,0.23529411764705882,0.3113207547169811,0.0
Jai Platts,Marc Shaw,7,966,906,0.5814204865006771,0.5374298453437496,2,0,8,0,10,1,48,10,0,0,8,0,4,0,22,2,0,4,1.0,0.0,6803,0.0,0.20833333333333334,0.0,0.1
John Pritchett,Gary Skipworth,7,974,949,0.534135239137421,0.5156199157230156,20,7,106,45,16,4,121,53,10,4,10,4,5,1,10,2,4,2,0.0,0.6666666666666666,6803,0.42452830188679247,0.4380165289256198,0.35,0.25
Dylan Smith,Brian Ochoiski,7,878,1024,0.3088849206673469,0.4097497480698165,10,0,50,8,68,27,350,158,7,3,22,4,10,6,48,24,1,4,1.0,0.1999999999999999,6803,0.16,0.4514285714285714,0.0,0.39705882352941174
Darren Burns,Brandon Nguyen,7,889,988,0.3673580509122629,0.4384389296638045,29,8,148,50,1,0,5,1,5,1,18,5,5,1,5,1,1,4,1.0,0.1999999999999999,6803,0.33783783783783783,0.2,0.27586206896551724,0.0
Saqib Nasir,Matthew Glasby,7,1028,1005,0.5314106943491967,0.5143710406970602,133,62,722,364,89,40,472,218,4,0,38,12,10,5,55,27,4,0,0.0,1.0,6803,0.5041551246537396,0.461864406779661,0.46616541353383456,0.449438202247191
Velian Dimitrov,Aidan Murphy (II),7,973,977,0.4945314322857426,0.497500020833125,4,1,18,5,7,1,34,12,5,1,18,5,10,5,20,7,3,4,1.0,0.4285714285714286,6803,0.2777777777777778,0.35294117647058826,0.25,0.14285714285714285
Nicolas Mortreux,Richard Pipe,7,980,806,0.7237619985420221,0.6070669880717036,7,2,39,16,48,11,336,117,9,4,39,16,4,0,25,5,4,1,0.0,0.8,6803,0.41025641025641024,0.3482142857142857,0.2857142857142857,0.22916666666666666
Jamie Gimblett,Faizaan Mohammed,7,988,962,0.5354968818114487,0.5162442810620724,1,0,5,1,16,5,81,32,5,1,5,1,10,6,37,15,3,4,1.0,0.4285714285714286,6803,0.2,0.3950617283950617,0.0,0.3125
Steven Wardropper,Alex Millington,7,997,1029,0.4563431395453439,0.4800106598444181,6,2,27,11,37,17,212,105,10,6,27,11,25,13,62,31,0,4,1.0,0.0,6803,0.4074074074074074,0.49528301886792453,0.3333333333333333,0.4594594594594595
Steven Croker,Elias Martin-Beris,7,984,965,0.5259570402770715,0.5118727677562528,1,0,4,0,6,1,29,9,4,0,4,0,7,3,29,9,0,4,1.0,0.0,6803,0.0,0.3103448275862069,0.0,0.16666666666666666
Ian Martin,Shaun Liu,7,1047,996,0.5693507188778237,0.5318318894162242,84,41,464,221,8,4,37,17,15,8,95,38,11,5,37,17,4,1,0.0,0.8,6803,0.47629310344827586,0.4594594594594595,0.4880952380952381,0.5
Mohammad Ashraf,Mark Lloyd,7,983,1042,0.4199168086394937,0.4631917100110196,1,0,4,0,48,19,246,113,4,0,4,0,26,18,69,34,1,4,1.0,0.1999999999999999,6803,0.0,0.45934959349593496,0.0,0.3958333333333333
Andy Lavin,Kian Dennett,7,1059,963,0.6287764284690306,0.5597136492671929,40,22,275,149,3,0,14,2,11,7,38,21,5,1,14,2,4,0,0.0,1.0,6803,0.5418181818181819,0.14285714285714285,0.55,0.0
Tony Knowles,Danny Brindle,7,939,875,0.5867595016023184,0.5399148845555657,613,304,5018,2488,40,10,218,78,4,0,35,12,9,5,50,24,4,1,0.0,0.8,6803,0.4958150657632523,0.3577981651376147,0.49592169657422513,0.25
William Hurley,Stephen Kershaw,7,988,971,0.523228201976906,0.5106234010049636,1,0,5,1,214,91,1487,703,5,1,5,1,12,5,52,25,1,4,1.0,0.1999999999999999,6803,0.2,0.47276395427034296,0.0,0.4252336448598131
Filips Kalniņš,Lewis Knowles,7,944,989,0.4387350506415305,0.4719046255916129,8,2,51,15,1,0,4,0,10,5,29,8,4,0,4,0,4,0,0.0,1.0,6803,0.29411764705882354,0.0,0.25,0.0
Robert Read,Rodion Judin,7,1011,961,0.5680051367615364,0.5312093733737563,23,9,129,58,41,17,243,100,6,2,6,2,6,2,49,19,1,4,1.0,0.1999999999999999,6803,0.4496124031007752,0.411522633744856,0.391304347826087,0.4146341463414634
Nathan Jones,Jamie Wilson,7,999,1038,0.446848125615167,0.4756442912317927,10,4,61,28,62,21,316,130,12,6,38,19,7,3,48,24,4,2,0.0,0.6666666666666666,6803,0.45901639344262296,0.41139240506329117,0.4,0.3387096774193548
Adam Stacey,Ashley Hugill,7,996,1299,0.1522672849281989,0.3191892891843614,2,1,9,4,255,112,1542,738,9,4,9,4,26,17,305,148,0,4,1.0,0.0,6803,0.4444444444444444,0.4785992217898833,0.5,0.4392156862745098
Christian Richter,Jack Harris,7,992,973,0.5259570402770715,0.5118727677562528,1,0,6,2,14,4,79,32,6,2,6,2,5,1,30,11,1,4,1.0,0.1999999999999999,6803,0.3333333333333333,0.4050632911392405,0.0,0.2857142857142857
Jay Bullen,Steven Crowley,7,957,991,0.4536273125253007,0.4787627850337259,9,2,50,18,2,0,10,3,9,4,27,11,6,2,6,2,2,4,1.0,0.3333333333333333,6803,0.36,0.3,0.2222222222222222,0.0
Joel Connolly Jnr,Jake Crofts,7,977,964,0.5177671819164107,0.5081242849062608,13,3,62,21,9,2,54,19,10,6,51,20,13,6,40,17,3,4,1.0,0.4285714285714286,6803,0.3387096774193548,0.35185185185185186,0.23076923076923078,0.2222222222222222
