player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id,p1_frames_win_rate,p2_frames_win_rate,p1_matches_win_rate,p2_matches_win_rate
Cao Yupeng,Jiang Jun,9,1411,1044,0.9180156886314788,0.7145324397353954,341,179,2302,1187,6,2,32,17,175,98,446,242,32,17,32,17,5,0,0.0,1.0,5808,0.5156385751520417,0.53125,0.5249266862170088,0.3333333333333333
Siripaporn Nuanthakhamjan,Zhou Yuelong,9,965,1384,0.0568805956471691,0.2597054583325499,3,0,23,4,459,272,2879,1548,23,4,23,4,245,118,808,430,2,5,1.0,0.2857142857142857,5808,0.17391304347826086,0.5376866967697117,0.0,0.5925925925925926
Wu Yize,Allan Taylor,9,1342,1237,0.6569871207564459,0.5652507475670999,78,37,552,278,421,194,2449,1172,151,78,404,215,101,49,336,147,5,3,0.0,0.625,5808,0.5036231884057971,0.47856267864434465,0.47435897435897434,0.46080760095011875
Ben Woollaston,Oliver Brown,9,1412,1146,0.8453183804092873,0.660382673079216,803,454,5053,2683,259,116,1391,660,163,85,534,282,91,35,235,97,5,2,0.0,0.7142857142857143,5808,0.5309716999802098,0.4744787922358016,0.5653798256537983,0.44787644787644787
Andres Petrov,Mark Williams,9,1045,1611,0.0177648837679526,0.1954466227264377,51,18,304,127,1751,1151,12775,7339,79,25,167,61,281,170,1112,649,2,5,1.0,0.2857142857142857,5808,0.41776315789473684,0.574481409001957,0.35294117647058826,0.6573386636207881
Michael White,Andrew Pagett,9,1367,1144,0.8035658834232549,0.6358738914270539,674,371,4352,2267,324,143,2067,981,133,66,524,273,133,60,280,111,5,3,0.0,0.625,5808,0.5209099264705882,0.4746008708272859,0.5504451038575667,0.44135802469135804
Daniel Wells,Matthew Stevens,9,1377,1407,0.4539653256740722,0.4812587841214648,494,247,3225,1611,1103,638,8355,4536,147,83,381,209,160,87,516,273,5,1,0.0,0.8333333333333334,5808,0.49953488372093025,0.5429084380610413,0.5,0.5784224841341795
Mink Nutcharut,Chris Wakelin,9,977,1435,0.042536894617421,0.241403538121065,26,2,145,42,361,193,2337,1201,78,23,144,42,252,145,620,326,2,5,1.0,0.2857142857142857,5808,0.2896551724137931,0.5139067180145486,0.07692307692307693,0.5346260387811634
Thor Chuan Leong,Thepchaiya Un-Nooh,9,1206,1448,0.1771660475755011,0.3532006074420143,159,57,987,433,531,310,3671,1956,44,27,74,47,177,102,584,311,2,5,1.0,0.2857142857142857,5808,0.4387031408308004,0.53282484336693,0.3584905660377358,0.583804143126177
Lukas Kleckers,Judd Trump,9,1251,1586,0.1013544096776086,0.3020615739919092,203,84,1153,516,1376,979,9380,5647,131,66,436,204,356,218,1419,868,1,5,1.0,0.1666666666666666,5808,0.44752818733738076,0.6020255863539445,0.41379310344827586,0.7114825581395349
Elliot Slessor,David Lilley,9,1290,1276,0.5215222176025543,0.5087491068802403,326,155,2006,970,227,113,1336,674,174,92,481,236,124,57,467,228,5,0,0.0,1.0,5808,0.4835493519441675,0.5044910179640718,0.4754601226993865,0.4977973568281938
Anthony McGill,Ishpreet Singh Chadha,9,1475,1154,0.8891414855085585,0.6905090012275708,727,433,4826,2627,18,13,85,58,196,108,743,403,85,58,85,58,4,5,1.0,0.4444444444444444,5808,0.5443431413178615,0.6823529411764706,0.5955983493810179,0.7222222222222222
Yuan Sijun,Ross Muir,9,1424,1259,0.7369488869894564,0.6016871801828567,232,118,1462,743,266,106,1666,769,107,59,493,276,104,52,388,202,5,1,0.0,0.8333333333333334,5808,0.5082079343365253,0.4615846338535414,0.5086206896551724,0.39849624060150374
Anton Kazakov,Xu Si,9,973,1341,0.0814296740357848,0.2849578942990102,26,3,153,47,169,68,1072,486,77,24,153,47,126,65,390,189,3,5,1.0,0.375,5808,0.30718954248366015,0.4533582089552239,0.11538461538461539,0.40236686390532544
Sean O'Sullivan,Matthew Selt,9,1080,1406,0.107389927440339,0.3068260506740499,268,101,1667,735,833,450,5357,2787,92,34,198,80,361,185,885,454,3,5,1.0,0.375,5808,0.4409118176364727,0.520253873436625,0.376865671641791,0.5402160864345739
Andy Lee,Mark Selby,9,1122,1591,0.0390934218687047,0.2364033948403729,186,82,1112,509,1500,1028,10722,6248,90,33,212,95,409,230,1258,712,0,5,1.0,0.0,5808,0.4577338129496403,0.582727103152397,0.44086021505376344,0.6853333333333333
Noppon Saengkham,Andrew Higginson,9,1449,1352,0.6456229970128096,0.5603296426885532,421,219,2862,1439,858,496,5953,3234,256,137,629,333,128,70,403,218,5,3,0.0,0.625,5808,0.5027952480782669,0.5432555014278515,0.5201900237529691,0.578088578088578
Ryan Thomerson,Neil Robertson,9,978,1452,0.0376085684834096,0.2341543741802029,57,15,335,129,1220,814,9010,5189,86,33,164,60,212,105,925,525,0,5,1.0,0.0,5808,0.3850746268656716,0.5759156492785794,0.2631578947368421,0.6672131147540984
Liu Hongyu,Jackson Page,9,1131,1355,0.1953878167071532,0.3635474597184336,17,11,83,51,167,82,1064,524,40,26,83,51,148,79,509,262,3,5,1.0,0.375,5808,0.6144578313253012,0.4924812030075188,0.6470588235294118,0.49101796407185627
Ronnie O'Sullivan,Ken Doherty,9,1614,1246,0.9185703259642152,0.7150421057009898,1471,1120,12690,7745,1269,739,10005,5404,143,87,1049,622,137,63,384,168,5,1,0.0,0.8333333333333334,5808,0.6103230890464934,0.5401299350324837,0.761386811692726,0.582348305752561
Martin O'Donnell,David Grace,9,1313,1311,0.5030761398318634,0.5012499973958399,468,234,2901,1465,461,216,3004,1462,79,42,360,183,142,68,424,204,5,2,0.0,0.7142857142857143,5808,0.5049982764563944,0.4866844207723036,0.5,0.4685466377440347
Joe O'Connor,Dean Young,9,1387,1076,0.8819527499348307,0.6851410567502929,247,119,1578,784,85,34,434,187,187,101,554,285,127,59,331,136,5,0,0.0,1.0,5808,0.4968314321926489,0.4308755760368664,0.4817813765182186,0.4
Robert Milkins,Zak Surety,9,1414,1220,0.7716906952520353,0.6189278548001903,1097,637,7616,4085,223,100,1261,598,420,213,811,413,106,47,360,164,5,2,0.0,0.7142857142857143,5808,0.5363707983193278,0.4742268041237113,0.5806745670009116,0.4484304932735426
Andy Hicks,Hammad Miah,9,1250,1220,0.5460346743259278,0.5187412158785352,743,391,5700,2915,263,105,1690,762,108,51,395,174,101,44,386,188,3,5,1.0,0.375,5808,0.5114035087719299,0.450887573964497,0.5262449528936743,0.39923954372623577
Shaun Murphy,Ben Mertens,9,1588,1251,0.8999509265382928,0.698991483509048,1321,872,9536,5427,77,38,449,231,304,188,932,539,174,97,321,171,2,5,1.0,0.2857142857142857,5808,0.569106543624161,0.5144766146993318,0.660105980317941,0.4935064935064935
Stephen Maguire,Manasawin Phetmalaikul,9,1387,1000,0.928553794342766,0.7246209144181192,1166,753,8477,4762,39,16,210,94,118,59,568,295,43,25,90,44,5,2,0.0,0.7142857142857143,5808,0.5617553379733397,0.44761904761904764,0.6457975986277873,0.41025641025641024
Jack Lisowski,Jenson Kendrick,9,1502,963,0.977701832984694,0.7937206082453278,757,462,4891,2676,55,17,304,121,286,156,1026,548,63,16,203,82,5,0,0.0,1.0,5808,0.5471273768145574,0.3980263157894737,0.6103038309114928,0.3090909090909091
Reanne Evans,Oliver Lines,9,981,1333,0.0906667015737944,0.2931777789064324,199,61,1118,439,345,164,2072,1015,84,34,216,66,134,70,432,217,0,5,1.0,0.0,5808,0.3926654740608229,0.48986486486486486,0.3065326633165829,0.4753623188405797
Jimmy Robertson,Rod Lawler,9,1419,1225,0.7716906952520355,0.6189278548001904,708,389,4629,2418,924,478,6770,3444,222,123,696,379,72,33,286,136,4,5,1.0,0.4444444444444444,5808,0.5223590408295529,0.5087149187592319,0.5494350282485876,0.5173160173160173
Tian Pengfei,Sanderson Lam,9,1362,1237,0.6847334230529899,0.5774953651858117,540,301,3536,1873,246,95,1477,646,149,79,454,228,158,81,422,202,3,5,1.0,0.375,5808,0.5296945701357466,0.43737305348679756,0.5574074074074075,0.3861788617886179
Pang Junxu,Stan Moody,9,1422,1021,0.9352601291577348,0.7315498244408544,128,69,795,410,27,8,149,61,231,132,571,315,74,25,134,55,5,1,0.0,0.8333333333333334,5808,0.5157232704402516,0.40939597315436244,0.5390625,0.2962962962962963
Ding Junhui,Ashley Hugill,9,1524,1299,0.8056549199917152,0.6370307944803831,949,632,7264,4146,233,104,1385,660,178,95,658,372,148,70,486,234,5,3,0.0,0.625,5808,0.5707599118942731,0.47653429602888087,0.6659641728134879,0.44635193133047213
Mark Joyce,Victor Sarkis,9,1259,925,0.8979880573364181,0.6974111143958823,608,312,4219,2118,15,1,77,15,97,48,404,190,59,11,77,15,5,1,0.0,0.8333333333333334,5808,0.5020146954254563,0.19480519480519481,0.5131578947368421,0.06666666666666667
Mostafa Dorgham,Jak Jones,9,968,1408,0.0487250552071083,0.2497398944048823,2,0,14,0,355,167,2262,1059,4,0,4,0,219,120,606,315,2,5,1.0,0.2857142857142857,5808,0.0,0.46816976127320953,0.0,0.4704225352112676
Jamie Jones,Liam Pullen,9,1344,1055,0.8649313248966203,0.6731572963701318,644,383,4196,2270,25,14,148,74,176,84,617,326,78,40,148,74,5,4,0.0,0.5555555555555556,5808,0.5409914204003813,0.5,0.59472049689441,0.56
Si Jiahui,Wang Xinzhong,9,1448,1000,0.9541128159374124,0.7539887164489482,137,71,886,469,0,0,0,0,272,153,636,339,0,0,0,0,5,2,0.0,0.7142857142857143,5808,0.5293453724604966,0.5,0.5182481751824818,0.5
Joe Perry,Aaron Hill,9,1398,1239,0.7294208076401818,0.5980868603322035,1357,794,9333,5051,93,40,531,247,217,114,768,394,135,68,408,195,0,5,1.0,0.0,5808,0.5411978999249973,0.4651600753295669,0.5851142225497421,0.43010752688172044
Liam Highfield,Jimmy White,9,1291,1200,0.6370088546286576,0.5566309599222533,495,261,3305,1713,1554,838,12949,6705,81,37,451,219,119,51,348,147,5,1,0.0,0.8333333333333334,5808,0.5183055975794251,0.5178006023631169,0.5272727272727272,0.5392535392535392
Dylan Emery,John Higgins,9,1200,1599,0.0656653389286195,0.2694332350413655,89,38,489,237,1795,1268,13996,8255,90,41,342,166,315,188,1333,776,1,5,1.0,0.1666666666666666,5808,0.48466257668711654,0.5898113746784795,0.42696629213483145,0.7064066852367687
Barry Hawkins,Louis Heathcote,9,1551,1257,0.8689474848283985,0.6759015277259407,1287,804,8854,4955,175,81,975,476,209,121,893,506,157,86,449,219,5,1,0.0,0.8333333333333334,5808,0.5596340637000226,0.4882051282051282,0.6247086247086248,0.46285714285714286
Mohammed Asif,Lyu Haotian,9,1101,1409,0.1202700062678051,0.3164791062636843,47,18,308,143,303,151,1948,964,73,24,136,60,161,84,561,297,2,5,1.0,0.2857142857142857,5808,0.4642857142857143,0.4948665297741273,0.3829787234042553,0.49834983498349833
Anthony Hamilton,Wang Xinbo,9,1327,1000,0.8932938325014955,0.6937054019553982,1024,583,7535,3976,0,0,0,0,145,68,494,247,0,0,0,0,5,0,0.0,1.0,5808,0.5276708692767087,0.5,0.5693359375,0.5
He Guoqiang,Kyren Wilson,9,1146,1607,0.0415731501166392,0.2400327441409272,31,18,171,89,956,609,6102,3444,88,57,88,57,313,190,1376,788,5,4,0.0,0.5555555555555556,5808,0.52046783625731,0.5644051130776795,0.5806451612903226,0.6370292887029289
Xiao Guodong,Alexander Ursenbacher,9,1456,1301,0.7243399491478313,0.5956807306078472,714,415,4466,2450,256,118,1544,739,330,177,854,459,109,58,378,187,5,0,0.0,1.0,5808,0.54858934169279,0.4786269430051813,0.5812324929971989,0.4609375
Hossein Vafaei,Marco Fu,9,1456,1339,0.6737542556151954,0.5726080638632602,289,173,2007,1054,945,553,7048,3817,258,144,716,394,60,22,182,86,4,5,1.0,0.4444444444444444,5808,0.5251619332336821,0.541572077185017,0.5986159169550173,0.5851851851851851
Tom Ford,Adam Duffy,9,1411,1122,0.8649313248966203,0.6731572963701318,894,510,6057,3232,416,201,2614,1301,267,139,835,447,104,41,220,93,5,2,0.0,0.7142857142857143,5808,0.5335974905068516,0.4977046671767406,0.5704697986577181,0.4831730769230769
Julien Leclercq,Graeme Dott,9,1144,1388,0.1752131980720684,0.3520591979193497,45,21,224,106,1154,674,8293,4463,93,48,204,97,141,72,693,359,3,5,1.0,0.375,5808,0.4732142857142857,0.5381647172314,0.4666666666666667,0.584055459272097
Scott Donaldson,Ma Hailong,9,1363,1061,0.8751919168487037,0.6802671966986485,464,247,2952,1503,12,4,78,35,141,74,618,309,78,35,78,35,5,1,0.0,0.8333333333333334,5808,0.5091463414634146,0.44871794871794873,0.5323275862068966,0.3333333333333333
Ryan Day,Long Zehuang,9,1396,1111,0.8616551521813485,0.6709533329057776,1262,747,8322,4537,37,18,193,94,214,105,814,427,34,16,34,16,5,3,0.0,0.625,5808,0.5451814467676039,0.48704663212435234,0.5919175911251982,0.4864864864864865
Liam Graham,Mark Davis,9,1012,1327,0.1151312262205183,0.3127057198027958,32,12,169,73,1282,762,8823,4795,48,17,138,57,149,77,476,233,1,5,1.0,0.1666666666666666,5808,0.4319526627218935,0.5434659412898107,0.375,0.594383775351014
Dominic Dale,Rebecca Kenna,9,1291,860,0.9479079941487858,0.7460205900722962,1076,596,7461,3925,29,3,147,32,100,52,413,195,54,7,133,30,5,0,0.0,1.0,5808,0.5260688915694947,0.21768707482993196,0.5539033457249071,0.10344827586206896
Yisong Peng,Sam Craigie,9,1042,1405,0.0842327762086235,0.2875116868679298,27,7,169,64,325,173,1927,1008,115,48,169,64,114,61,507,270,1,5,1.0,0.1666666666666666,5808,0.378698224852071,0.5230928905033732,0.25925925925925924,0.5323076923076923
Mohamed Ibrahim,Jamie Clarke,9,984,1316,0.1033367753414757,0.3036450701761658,21,4,135,46,306,152,1796,896,80,29,101,37,95,45,465,227,0,5,1.0,0.0,5808,0.34074074074074073,0.49888641425389757,0.19047619047619047,0.49673202614379086
Daniel Womersley,Gong Chenzhi,9,1111,1044,0.6018604645306949,0.5417773692836367,93,46,449,221,8,6,44,27,30,19,151,76,44,27,44,27,3,5,1.0,0.375,5808,0.4922048997772829,0.6136363636363636,0.4946236559139785,0.75
Gary Wilson,Ashley Carty,9,1394,1289,0.6569871207564459,0.5652507475670999,668,384,4272,2299,252,119,1460,719,211,108,741,381,75,41,287,136,3,5,1.0,0.375,5808,0.5381554307116105,0.49246575342465754,0.5748502994011976,0.4722222222222222
Ali Carter,Yulu Bai,9,1452,1027,0.94555735872979,0.7431680086124811,1256,770,8478,4682,5,3,33,18,289,164,999,572,33,18,33,18,5,2,0.0,0.7142857142857143,5808,0.5522528898325076,0.5454545454545454,0.6130573248407644,0.6
Fan Zhengyi,Stuart Carrington,9,1350,1288,0.5944158213362585,0.5386726052065081,139,56,904,397,491,264,3079,1608,180,99,512,256,122,68,445,232,1,5,1.0,0.1666666666666666,5808,0.4391592920353982,0.5222474829490095,0.4028776978417266,0.5376782077393075
Ricky Walden,Ian Burns,9,1358,1215,0.7088074446636303,0.5884351201276382,1110,660,7490,4104,472,231,2961,1469,226,109,822,446,106,48,417,195,3,5,1.0,0.375,5808,0.5479305740987984,0.4961161769672408,0.5945945945945946,0.4894067796610169
Robbie Williams,Alfie Burden,9,1442,1256,0.7623857644063682,0.6141996427768952,526,282,3353,1724,786,411,5587,2841,176,103,478,259,149,81,338,162,0,5,1.0,0.0,5808,0.5141664181330152,0.5085018793628066,0.5361216730038023,0.5229007633587787
Jordan Brown,Himanshu Jain,9,1316,941,0.9223700263151574,0.7185943925708561,301,155,1832,917,25,6,130,41,202,94,722,375,56,8,130,41,5,1,0.0,0.8333333333333334,5808,0.5005458515283843,0.3153846153846154,0.5149501661129569,0.24
James Cahill,Stuart Bingham,9,1290,1457,0.2605669628108724,0.3971151326725338,309,130,1909,892,1456,920,10074,5716,136,68,471,234,252,131,1042,564,3,5,1.0,0.375,5808,0.4672603457307491,0.5674012308914036,0.42071197411003236,0.6318681318681318
Ahmed Aly Elsayed,Zhang Anda,9,969,1404,0.0505723605232387,0.2520893369543627,5,0,20,2,429,215,2950,1491,20,2,20,2,187,108,440,240,3,5,1.0,0.375,5808,0.1,0.5054237288135593,0.0,0.5011655011655012
John Astley,Mark Allen,9,1284,1532,0.171350678436992,0.3497814514261729,339,155,2090,993,1019,674,7178,4078,131,62,438,216,240,128,934,538,3,5,1.0,0.375,5808,0.4751196172248804,0.5681248258567846,0.45722713864306785,0.661432777232581
Xing Zihao,Michael White,9,996,1367,0.0797835686919133,0.2834321854422854,5,1,24,9,674,371,4352,2267,24,9,24,9,133,66,524,273,5,4,0.0,0.5555555555555556,5808,0.375,0.5209099264705882,0.2,0.5504451038575667
Zhou Yuelong,Anthony Hamilton,9,1384,1327,0.5869351044529159,0.5355648379838539,459,272,2879,1548,1024,583,7535,3976,245,118,808,430,145,68,494,247,5,0,0.0,1.0,5808,0.5376866967697117,0.5276708692767087,0.5925925925925926,0.5693359375
Marco Fu,Wu Yize,9,1339,1342,0.4953858503317344,0.4981250087890131,945,553,7048,3817,78,37,552,278,60,22,182,86,151,78,404,215,3,5,1.0,0.375,5808,0.541572077185017,0.5036231884057971,0.5851851851851851,0.47435897435897434
Judd Trump,Oliver Lines,9,1586,1333,0.8333964892426636,0.6530561132866127,1376,979,9380,5647,345,164,2072,1015,356,218,1419,868,134,70,432,217,5,2,0.0,0.7142857142857143,5808,0.6020255863539445,0.48986486486486486,0.7114825581395349,0.4753623188405797
Yuan Sijun,Ding Junhui,9,1424,1524,0.3500987786078318,0.4378234991142019,232,118,1462,743,949,632,7264,4146,107,59,493,276,178,95,658,372,5,0,0.0,1.0,5808,0.5082079343365253,0.5707599118942731,0.5086206896551724,0.6659641728134879
Xu Si,Mark Selby,9,1341,1591,0.1694410136483224,0.3486451353339457,169,68,1072,486,1500,1028,10722,6248,126,65,390,189,409,230,1258,712,5,4,0.0,0.5555555555555556,5808,0.4533582089552239,0.582727103152397,0.40236686390532544,0.6853333333333333
Matthew Selt,Thepchaiya Un-Nooh,9,1406,1448,0.4356958412515649,0.4737740906279313,833,450,5357,2787,531,310,3671,1956,361,185,885,454,177,102,584,311,5,2,0.0,0.7142857142857143,5808,0.520253873436625,0.53282484336693,0.5402160864345739,0.583804143126177
Ronnie O'Sullivan,Mark Davis,9,1614,1327,0.8633002845321215,0.6720562626502714,1471,1120,12690,7745,1282,762,8823,4795,143,87,1049,622,149,77,476,233,5,1,0.0,0.8333333333333334,5808,0.6103230890464934,0.5434659412898107,0.761386811692726,0.594383775351014
Martin O'Donnell,John Higgins,9,1313,1599,0.1375205182203971,0.3284949657745942,468,234,2901,1465,1795,1268,13996,8255,79,42,360,183,315,188,1333,776,5,1,0.0,0.8333333333333334,5808,0.5049982764563944,0.5898113746784795,0.5,0.7064066852367687
Hammad Miah,Robert Milkins,9,1220,1414,0.2283093047479647,0.3810721451998097,263,105,1690,762,1097,637,7616,4085,101,44,386,188,420,213,811,413,4,5,1.0,0.4444444444444444,5808,0.450887573964497,0.5363707983193278,0.39923954372623577,0.5806745670009116
Ben Mertens,Dominic Dale,9,1251,1291,0.4387318882192537,0.47502081252106,77,38,449,231,1076,596,7461,3925,174,97,321,171,100,52,413,195,5,1,0.0,0.8333333333333334,5808,0.5144766146993318,0.5260688915694947,0.4935064935064935,0.5539033457249071
Joe O'Connor,Stephen Maguire,9,1387,1387,0.5,0.5,247,119,1578,784,1166,753,8477,4762,187,101,554,285,118,59,568,295,2,5,1.0,0.2857142857142857,5808,0.4968314321926489,0.5617553379733397,0.4817813765182186,0.6457975986277873
Jack Lisowski,Scott Donaldson,9,1502,1363,0.7035360054960305,0.5860112044388707,757,462,4891,2676,464,247,2952,1503,286,156,1026,548,141,74,618,309,5,3,0.0,0.625,5808,0.5471273768145574,0.5091463414634146,0.6103038309114928,0.5323275862068966
Stuart Carrington,Pang Junxu,9,1288,1422,0.3031172208826285,0.4170245457988004,491,264,3079,1608,128,69,795,410,122,68,445,232,231,132,571,315,3,5,1.0,0.375,5808,0.5222474829490095,0.5157232704402516,0.5376782077393075,0.5390625
Ian Burns,Jamie Jones,9,1215,1344,0.309839810530208,0.4200665998114942,472,231,2961,1469,644,383,4196,2270,106,48,417,195,176,84,617,326,4,5,1.0,0.4444444444444444,5808,0.4961161769672408,0.5409914204003813,0.4894067796610169,0.59472049689441
Si Jiahui,Jak Jones,9,1448,1408,0.5612681117807465,0.52497918747894,137,71,886,469,355,167,2262,1059,272,153,636,339,219,120,606,315,5,4,0.0,0.5555555555555556,5808,0.5293453724604966,0.46816976127320953,0.5182481751824818,0.4704225352112676
Aaron Hill,Ben Woollaston,9,1239,1412,0.2531913139361652,0.3935295129316965,93,40,531,247,803,454,5053,2683,135,68,408,195,163,85,534,282,5,1,0.0,0.8333333333333334,5808,0.4651600753295669,0.5309716999802098,0.43010752688172044,0.5653798256537983
Liam Highfield,Neil Robertson,9,1291,1452,0.268057314719077,0.4007118364916439,495,261,3305,1713,1220,814,9010,5189,81,37,451,219,212,105,925,525,5,3,0.0,0.625,5808,0.5183055975794251,0.5759156492785794,0.5272727272727272,0.6672131147540984
Barry Hawkins,Sanderson Lam,9,1551,1237,0.8841448555450592,0.6867567266439019,1287,804,8854,4955,246,95,1477,646,209,121,893,506,158,81,422,202,5,2,0.0,0.7142857142857143,5808,0.5596340637000226,0.43737305348679756,0.6247086247086248,0.3861788617886179
Lyu Haotian,Chris Wakelin,9,1409,1435,0.4600800462945756,0.4837557189379275,303,151,1948,964,361,193,2337,1201,161,84,561,297,252,145,620,326,5,2,0.0,0.7142857142857143,5808,0.4948665297741273,0.5139067180145486,0.49834983498349833,0.5346260387811634
Elliot Slessor,He Guoqiang,9,1290,1146,0.7101180862128782,0.5890404340586652,326,155,2006,970,31,18,171,89,174,92,481,236,88,57,88,57,2,5,1.0,0.2857142857142857,5808,0.4835493519441675,0.52046783625731,0.4754601226993865,0.5806451612903226
Xiao Guodong,Rod Lawler,9,1456,1225,0.8118363604456017,0.6404919537233386,714,415,4466,2450,924,478,6770,3444,330,177,854,459,72,33,286,136,5,2,0.0,0.7142857142857143,5808,0.54858934169279,0.5087149187592319,0.5812324929971989,0.5173160173160173
Tom Ford,Cao Yupeng,9,1411,1411,0.5,0.5,894,510,6057,3232,341,179,2302,1187,267,139,835,447,175,98,446,242,5,1,0.0,0.8333333333333334,5808,0.5335974905068516,0.5156385751520417,0.5704697986577181,0.5249266862170088
Jackson Page,Ryan Day,9,1355,1396,0.4372133789195538,0.4743974116753822,167,82,1064,524,1262,747,8322,4537,148,79,509,262,214,105,814,427,4,5,1.0,0.4444444444444444,5808,0.4924812030075188,0.5451814467676039,0.49101796407185627,0.5919175911251982
Sam Craigie,Ishpreet Singh Chadha,9,1405,1154,0.8315084197134864,0.6519223788927313,325,173,1927,1008,18,13,85,58,114,61,507,270,85,58,85,58,5,2,0.0,0.7142857142857143,5808,0.5230928905033732,0.6823529411764706,0.5323076923076923,0.7222222222222222
Jordan Brown,Gong Chenzhi,9,1316,1044,0.8506163513024436,0.6637386974043527,301,155,1832,917,8,6,44,27,202,94,722,375,44,27,44,27,3,5,1.0,0.375,5808,0.5005458515283843,0.6136363636363636,0.5149501661129569,0.75
Ashley Carty,Alfie Burden,9,1289,1256,0.5506132837092798,0.5206133097144486,252,119,1460,719,786,411,5587,2841,75,41,287,136,149,81,338,162,5,3,0.0,0.625,5808,0.49246575342465754,0.5085018793628066,0.4722222222222222,0.5229007633587787
Ali Carter,Jamie Clarke,9,1452,1316,0.699552494810083,0.5841905229354074,1256,770,8478,4682,306,152,1796,896,289,164,999,572,95,45,465,227,5,1,0.0,0.8333333333333334,5808,0.5522528898325076,0.49888641425389757,0.6130573248407644,0.49673202614379086
Stuart Bingham,Daniel Wells,9,1457,1377,0.6210284680300693,0.549833997312478,1456,920,10074,5716,494,247,3225,1611,252,131,1042,564,147,83,381,209,5,1,0.0,0.8333333333333334,5808,0.5674012308914036,0.49953488372093025,0.6318681318681318,0.5
Mark Allen,Mark Joyce,9,1532,1259,0.8514868359502932,0.6642964428999887,1019,674,7178,4078,608,312,4219,2118,240,128,934,538,97,48,404,190,5,4,0.0,0.5555555555555556,5808,0.5681248258567846,0.5020146954254563,0.661432777232581,0.5131578947368421
Ryan Day,Wu Yize,9,1396,1342,0.5824304989902046,0.5336988354329009,1262,747,8322,4537,78,37,552,278,214,105,814,427,151,78,404,215,2,5,1.0,0.2857142857142857,5808,0.5451814467676039,0.5036231884057971,0.5919175911251982,0.47435897435897434
Judd Trump,Matthew Selt,9,1586,1406,0.7552657810970291,0.610639233949222,1376,979,9380,5647,833,450,5357,2787,356,218,1419,868,361,185,885,454,5,0,0.0,1.0,5808,0.6020255863539445,0.520253873436625,0.7114825581395349,0.5402160864345739
Ashley Carty,Yuan Sijun,9,1289,1424,0.3017809683941789,0.4164168844827247,252,119,1460,719,232,118,1462,743,75,41,287,136,107,59,493,276,2,5,1.0,0.2857142857142857,5808,0.49246575342465754,0.5082079343365253,0.4722222222222222,0.5086206896551724
Pang Junxu,Ronnie O'Sullivan,9,1422,1614,0.2306151721378867,0.382252125230751,128,69,795,410,1471,1120,12690,7745,231,132,571,315,143,87,1049,622,4,5,1.0,0.4444444444444444,5808,0.5157232704402516,0.6103230890464934,0.5390625,0.761386811692726
Xing Zihao,Stephen Maguire,9,996,1387,0.0694752954296099,0.2733881198506059,5,1,24,9,1166,753,8477,4762,24,9,24,9,118,59,568,295,1,5,1.0,0.1666666666666666,5808,0.375,0.5617553379733397,0.2,0.6457975986277873
Jack Lisowski,Sam Craigie,9,1502,1405,0.6456229970128096,0.5603296426885532,757,462,4891,2676,325,173,1927,1008,286,156,1026,548,114,61,507,270,5,4,0.0,0.5555555555555556,5808,0.5471273768145574,0.5230928905033732,0.6103038309114928,0.5323076923076923
Aaron Hill,Martin O'Donnell,9,1239,1313,0.3877827719916604,0.4538814589542204,93,40,531,247,468,234,2901,1465,135,68,408,195,79,42,360,183,5,1,0.0,0.8333333333333334,5808,0.4651600753295669,0.5049982764563944,0.43010752688172044,0.5
Liam Highfield,Zhou Yuelong,9,1291,1384,0.3601113940716554,0.4421354272792655,495,261,3305,1713,459,272,2879,1548,81,37,451,219,245,118,808,430,5,3,0.0,0.625,5808,0.5183055975794251,0.5376866967697117,0.5272727272727272,0.5925925925925926
Jamie Jones,Barry Hawkins,9,1344,1551,0.213656666445327,0.3734370028762818,644,383,4196,2270,1287,804,8854,4955,176,84,617,326,209,121,893,506,1,5,1.0,0.1666666666666666,5808,0.5409914204003813,0.5596340637000226,0.59472049689441,0.6247086247086248
Ben Mertens,Lyu Haotian,9,1251,1409,0.2718447863126251,0.4025142341729839,77,38,449,231,303,151,1948,964,174,97,321,171,161,84,561,297,1,5,1.0,0.1666666666666666,5808,0.5144766146993318,0.4948665297741273,0.4935064935064935,0.49834983498349833
He Guoqiang,Gong Chenzhi,9,1146,1044,0.6527423440531748,0.5634067862621936,31,18,171,89,8,6,44,27,88,57,88,57,44,27,44,27,5,4,0.0,0.5555555555555556,5808,0.52046783625731,0.6136363636363636,0.5806451612903226,0.75
Xu Si,Xiao Guodong,9,1341,1456,0.3290159602289743,0.4286160183230676,169,68,1072,486,714,415,4466,2450,126,65,390,189,330,177,854,459,0,5,1.0,0.0,5808,0.4533582089552239,0.54858934169279,0.40236686390532544,0.5812324929971989
